run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,ack_rtt_ns,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711755,t-288230376151711755,12,144115188075855884,281193503312776135,LAB_USDT,15,10678480604101,kBinance,15,1780311658618000000,7510712759932686,1780311658619467982,1780311658619468345,kLead,entry,7,kEntrySubmit,kShort,288230376151711755,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,13.4949,13.4948,13.49480,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,,true,436,158,0,0,0,10,738426,,,,,,,,,,,,,,,,,,,,,,,,,1780311658619470248,1780311658620208674,1780311658621101577,submitted_v1,
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711756,t-288230376151711756,13,144115188075855885,281193503312776155,LAB_USDT,15,10678480604452,kBinance,15,1780311658621000000,7510712761926806,1780311658621462415,1780311658621462732,kLead,entry,8,kEntrySubmit,kShort,288230376151711756,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,13.4949,13.4948,13.49480,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,,true,442,130,0,0,0,10,486675,,,,,,,,,,,,,,,,,,,,,,,,,1780311658621463674,1780311658621950349,1780311658622696944,submitted_v1,
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711757,t-288230376151711757,14,144115188075855886,281193503312776179,LAB_USDT,15,10678480604939,kBinance,15,1780311658622000000,7510712763862428,1780311658623397222,1780311658623397532,kLead,entry,9,kEntrySubmit,kShort,288230376151711757,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,13.4949,13.4948,13.49480,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,,true,459,131,0,0,0,10,608039,,,,,,,,,,,,,,,,,,,,,,,,,1780311658623398480,1780311658624006519,1780311658625716876,submitted_v1,
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711758,t-288230376151711758,15,144115188075855887,281193503312829270,LAB_USDT,15,10678482747817,kBinance,15,1780311678058000000,7510732201442099,1780311678060977088,1780311678060977722,kLead,entry,10,kEntrySubmit,kLong,288230376151711758,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,12.89296,12.89306,12.89306,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,,true,427,107,0,0,0,10,571514,,,,,,,,,,,,,,,,,,,,,,,,,1780311678060986519,1780311678061558033,1780311678063281116,submitted_v1,
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711759,t-288230376151711759,16,144115188075855888,281193503313121705,LAB_USDT,15,10678493576042,kBinance,15,1780311772049000000,7510826190057059,1780311772049591884,1780311772049593243,kLead,entry,11,kEntrySubmit,kLong,288230376151711759,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,13.74,13.7401,13.74010,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,,true,368,59,0,0,0,10,523077,,,,,,,,,,,,,,,,,,,,,,,,,1780311772049603399,1780311772050126476,1780311772062910022,submitted_v1,
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711760,t-288230376151711760,17,144115188075855889,281193503313207060,LAB_USDT,15,10678497236599,kBinance,15,1780311801008000000,7510855150144214,1780311801009679087,1780311801009679948,kLead,entry,12,kEntrySubmit,kShort,288230376151711760,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.37085,14.37075,14.37075,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,,true,385,79,0,0,0,10,631840,,,,,,,,,,,,,,,,,,,,,,,,,1780311801009689951,1780311801010321791,1780311801015545640,submitted_v1,
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711761,t-288230376151711761,18,144115188075855890,281193503313429854,LAB_USDT,15,10678508849644,kBinance,15,1780311914402000000,7510968543550483,1780311914403085860,1780311914403086628,kLead,entry,13,kEntrySubmit,kShort,288230376151711761,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.49528,14.49518,14.49518,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,,true,368,54,0,0,0,10,532737,,,,,,,,,,,,,,,,,,,,,,,,,1780311914403097290,1780311914403630027,1780311914428545757,submitted_v1,
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711762,t-288230376151711762,19,144115188075855891,281193503313549674,LAB_USDT,15,10678515505063,kBinance,15,1780311984042000000,7511038183482493,1780311984043017644,1780311984043018829,kLead,entry,14,kEntrySubmit,kLong,288230376151711762,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.49332,14.49342,14.49342,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,4,true,979,1271,0,0,0,10,5401767,kAckRttThreshold,5401767,20090,32023,14526,20045,1,49610,152,1780311984043029756,1780311984043031164,1780311984043031553,1780311984043031745,1780311984043031784,1780311984043038042,1780311984043042533,245,245,0,false,0,true,245,0,1780311984043030141,1780311984048431908,1780311984051986684,submitted_v1,
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711763,t-288230376151711763,20,144115188075855892,281193503313550340,LAB_USDT,15,10678515519834,kBinance,15,1780311984185000000,7511038326821132,1780311984186356648,1780311984186357337,kLead,entry,15,kEntrySubmit,kLong,288230376151711763,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.53286,14.53296,14.53296,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,,true,928,1056,0,0,0,10,580501,,,,,,,,,,,,,,,,,,,,,,,,,1780311984186359685,1780311984186940186,1780311984189859117,submitted_v1,
20260601_105424_lab_usdt_200usdt_private_1h,288230376151711764,t-288230376151711764,21,144115188075855893,281193503313562586,LAB_USDT,15,10678515926213,kBinance,15,1780311988859000000,7511043001077130,1780311988860612336,1780311988860612657,kLead,entry,16,kEntrySubmit,kLong,288230376151711764,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,14.54729,14.54739,14.54739,1e-05,10,10,0.1,0.1,0,0.1,0.1,0,0,0,100.0,,kNone,,,,,,0.00016,,,1,4,3362311,10.0.1.103,52772,10.0.1.154,80,4,4,,true,815,783,0,0,0,10,576164,,,,,,,,,,,,,,,,,,,,,,,,,1780311988860617446,1780311988861193610,1780311988865178753,submitted_v1,
