run_id,position_key,symbol,symbol_id,position_id,position_direction,status,entry_local_order_id,exit_local_order_id,entry_exchange_order_id,exit_exchange_order_id,entry_ns,exit_ns,holding_ns,entry_side,exit_side,entry_raw_price,exit_raw_price,entry_order_price,exit_order_price,entry_price,exit_price,entry_volume,exit_volume,matched_volume,remaining_entry_volume,contract_multiplier,entry_notional,exit_notional,gross_pnl,entry_fee_quote_estimated,exit_fee_quote_estimated,total_fee_quote_estimated,net_pnl,entry_ack_rtt_ns,exit_ack_rtt_ns,entry_fee_source,exit_fee_source,warnings
20260601_105424_lab_usdt_200usdt_private_1h,20260601_105424_lab_usdt_200usdt_private_1h:15:1:288230376151711748,LAB_USDT,15,1,kLong,closed,288230376151711745,288230376151711748,281193503312270499,281193503312275581,1780311381577969724,1780311383754119909,2176150185,kBuy,kSell,14.99579,14.7697402,14.99589,14.76964,14.99577,14.85016,0.1,0.1,0.1,0,100,149.9577,148.5016,-1.4561,0.023993232,0.023760256,0.047753488,-1.503853488,494792,485962,config_estimated,config_estimated,
20260601_105424_lab_usdt_200usdt_private_1h,20260601_105424_lab_usdt_200usdt_private_1h:15:2:288230376151711750,LAB_USDT,15,2,kLong,closed,288230376151711749,288230376151711750,281193503312286592,281193503312295287,1780311389123352620,1780311395856248653,6732896033,kBuy,kSell,14.86886,14.9207,14.86896,14.9206,14.86887,14.9207,0.1,0.1,0.1,0,100,148.6887,149.207,0.5183,0.023790192,0.02387312,0.047663312,0.470636688,684910,571172,config_estimated,config_estimated,
20260601_105424_lab_usdt_200usdt_private_1h,20260601_105424_lab_usdt_200usdt_private_1h:15:29:288230376151711780,LAB_USDT,15,29,kShort,closed,288230376151711777,288230376151711780,281193503313814871,281193503313822216,1780312137309704715,1780312140290117980,2980413265,kSell,kBuy,14.07107,13.83896,14.07097,13.83906,14.0713,13.83896,0.1,0.1,0.1,0,100,140.713,138.3896,2.3234,0.02251408,0.022142336,0.044656416,2.278743584,547428,942632,config_estimated,config_estimated,
