symbol_id,symbol,exchange,exchange_symbol,base_asset,quote_asset,settle_asset,product_type,status,contract_type,price_tick,price_decimal_places,quantity_step,quantity_decimal_places,min_quantity,max_quantity,max_market_quantity,min_notional,notional_multiplier,price_limit_up,price_limit_down,market_price_bound
10,RIVER_USDT,bitget,RIVERUSDT,RIVER,USDT,USDT,linear_perpetual,online,perpetual,0.001,3,1.0,0,1.0,120000.0,15000.0,5.0,1.0,0.15,0.15,
11,SUI_USDT,gate,SUI_USDT,SUI,USDT,USDT,linear_perpetual,TRADING,direct,0.0001,4,1.0,0,1.0,3000000.0,2000000.0,,1.0,0.05,0.05,0.02
11,SUI_USDT,binance,SUIUSDT,SUI,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,0.1,1,0.1,10000000.0,600000.0,5.0,1.0,0.15,0.15,0.15
11,SUI_USDT,bitget,SUIUSDT,SUI,USDT,USDT,linear_perpetual,online,perpetual,0.0001,4,0.1,1,0.1,5800000.0,720000.0,5.0,1.0,0.15,0.15,
12,INJ_USDT,gate,INJ_USDT,INJ,USDT,USDT,linear_perpetual,TRADING,direct,0.001,3,1.0,0,1.0,980000.0,650000.0,,0.1,0.07,0.07,0.025
12,INJ_USDT,binance,INJUSDT,INJ,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.001,3,0.1,1,0.1,1000000.0,25000.0,5.0,1.0,0.1,0.1,0.1
12,INJ_USDT,bitget,INJUSDT,INJ,USDT,USDT,linear_perpetual,online,perpetual,0.001,3,0.1,1,0.1,110000.0,12000.0,5.0,1.0,0.1,0.1,
13,ENA_USDT,gate,ENA_USDT,ENA,USDT,USDT,linear_perpetual,TRADING,direct,1e-05,5,1.0,0,1.0,2300000.0,1500000.0,,10.0,0.05,0.05,0.02
13,ENA_USDT,binance,ENAUSDT,ENA,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,1e-05,5,1.0,0,1.0,20000000.0,2000000.0,5.0,1.0,0.15,0.15,0.15
13,ENA_USDT,bitget,ENAUSDT,ENA,USDT,USDT,linear_perpetual,online,perpetual,1e-05,5,1.0,0,1.0,53000000.0,6600000.0,5.0,1.0,0.15,0.15,
14,BRETT_USDT,gate,BRETT_USDT,BRETT,USDT,USDT,linear_perpetual,TRADING,direct,1e-06,6,1.0,0,1.0,3000000.0,2000000.0,,10.0,0.15,0.15,0.04
14,BRETT_USDT,binance,BRETTUSDT,BRETT,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,1e-06,6,1.0,0,1.0,70000000.0,7000000.0,5.0,1.0,0.15,0.15,0.15
14,BRETT_USDT,bitget,BRETTUSDT,BRETT,USDT,USDT,linear_perpetual,online,perpetual,1e-06,6,10.0,0,10.0,40000000.0,9500000.0,5.0,1.0,0.15,0.15,
15,LAB_USDT,gate,LAB_USDT,LAB,USDT,USDT,linear_perpetual,TRADING,direct,1e-05,5,0.1,1,0.1,1200.0,800.0,,100.0,0.2,0.2,0.05
15,LAB_USDT,binance,LABUSDT,LAB,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,0.0001,4,1.0,0,1.0,6000000.0,600000.0,5.0,1.0,0.15,0.15,0.15
15,LAB_USDT,bitget,LABUSDT,LAB,USDT,USDT,linear_perpetual,online,perpetual,0.001,3,1.0,0,1.0,500000.0,60000.0,5.0,1.0,0.15,0.15,
