run_id,signal_index,log_time,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,request_send_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
bitget_lead_lag_top20_highspeed_20260715T154837Z,1,2026-07-15 15:56:56.446462827,kBinance,316,1784131016445000000,1784131016446460441,1784131016446460841,1784131016446461837,1784131016445000000,1784131016446460441,11054864450960,1461837,1784131016445000000,1784131016446201003,198757846791,1461837,ORDI_USDT,316,kLead,kOpenLong,kBuy,false,0,3.503,432345564227567617,,1784131016446481727,400,996,19890,21286,1461316886869979136,entry,1,kEntrySubmit,kLong,3.504,0.001,1,1.5,kCancelled,0,0,,16402472,1784131016464870523,
bitget_lead_lag_top20_highspeed_20260715T154837Z,2,2026-07-15 15:57:13.299576226,kBinance,411,1784131033299000000,1784131033299573650,1784131033299574104,1784131033299575180,1784131033299000000,1784131033299573650,11054866716096,575180,1784131031768000000,1784131031768648785,370763280374,1531575180,TAC_USDT,411,kLead,kOpenLong,kBuy,false,0,0.003007,0,,,454,1076,,,,entry,0,,,0.003008,1e-06,1,0,kRejected,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,3,2026-07-15 15:57:13.300017349,kBinance,411,1784131033299000000,1784131033300016477,1784131033300016958,1784131033300017269,1784131033299000000,1784131033300016477,11054866716163,1017269,1784131031768000000,1784131031768648785,370763280374,1532017269,TAC_USDT,411,kLead,kOpenLong,kBuy,false,0,0.003007,0,,,481,311,,,,entry,0,,,0.003008,1e-06,1,0,kRejected,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,4,2026-07-15 15:57:40.142065269,kBinance,480,1784131060141000000,1784131060142063325,1784131060142063725,1784131060142064525,1784131060141000000,1784131060142063325,11054869982673,1064525,1784131059828000000,1784131059828971064,417183065551,314064525,ZEC_USDT,480,kLead,kOpenLong,kBuy,false,0,574.91,0,,,400,800,,,,entry,0,,,575.03,0.01,12,0,kRejected,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,5,2026-07-15 15:57:40.142543259,kBinance,480,1784131060141000000,1784131060142541677,1784131060142542820,1784131060142543178,1784131060141000000,1784131060142541677,11054869982824,1543178,1784131060142000000,1784131060142376693,417183079938,543178,ZEC_USDT,480,kLead,kOpenLong,kBuy,false,0,574.91,432345564227567618,,1784131060142558359,1143,358,15181,16682,1461317070085566469,entry,1,kEntrySubmit,kLong,575.03,0.01,12,0.009,kCancelled,0,0,,2509143,1784131060147234857,
bitget_lead_lag_top20_highspeed_20260715T154837Z,6,2026-07-15 15:57:40.142563023,kBinance,480,1784131060142000000,1784131060142543691,1784131060142562537,1784131060142562945,1784131060142000000,1784131060142543691,11054869983048,562945,1784131060142000000,1784131060142376693,417183079938,562945,ZEC_USDT,480,kLead,kOpenLong,kBuy,false,0,574.91,0,,,18846,408,,,,entry,0,,,574.91,0.01,0,0,kRejected,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,7,2026-07-15 15:58:26.948552407,kBinance,347,1784131106947000000,1784131106948550618,1784131106948550927,1784131106948552146,1784131106947000000,1784131106948550618,11054874617461,1552146,1784131106948000000,1784131106948429460,657439922745,552146,RAVE_USDT,347,kLead,kOpenShort,kSell,false,0,0.29513,432345564227567619,,1784131106948570020,309,1219,17874,19402,1461317266404159490,entry,1,kEntrySubmit,kShort,0.29506,1e-05,6,17,kCancelled,0,0,,2799448,1784131106953256755,
bitget_lead_lag_top20_highspeed_20260715T154837Z,8,2026-07-15 15:58:26.948574373,kBinance,347,1784131106947000000,1784131106948551248,1784131106948573918,1784131106948574306,1784131106947000000,1784131106948551248,11054874617509,1574306,1784131106948000000,1784131106948429460,657439922745,574306,RAVE_USDT,347,kLead,kOpenShort,kSell,false,0,0.29513,0,,,22670,388,,,,entry,0,,,0.29513,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,9,2026-07-15 15:58:26.949477472,kBinance,347,1784131106948000000,1784131106949476799,1784131106949477130,1784131106949477416,1784131106948000000,1784131106949476799,11054874617747,1477416,1784131106948000000,1784131106948753079,657439922777,1477416,RAVE_USDT,347,kLead,kOpenShort,kSell,false,0,0.29508,0,,,331,286,,,,entry,0,,,0.29508,1e-05,0,0,kRejected,,,,,,
bitget_lead_lag_top20_highspeed_20260715T154837Z,10,2026-07-15 15:58:26.949478513,kBinance,347,1784131106948000000,1784131106949477716,1784131106949478220,1784131106949478457,1784131106948000000,1784131106949477716,11054874617766,1478457,1784131106948000000,1784131106948753079,657439922777,1478457,RAVE_USDT,347,kLead,kOpenShort,kSell,false,0,0.29508,0,,,504,237,,,,entry,0,,,0.29508,1e-05,0,0,kRejected,,,,,,
