run_id,local_order_id,parent_id,route_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,max_lead_freshness_ns,max_lag_freshness_ns,freshness_guard_pass,freshness_reject_reason,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,ack_rtt_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,ack_lead_id,ack_lag_id,accepted_lead_id,accepted_lag_id,partial_filled_lead_id,partial_filled_lag_id,filled_lead_id,filled_lag_id,cancelled_lead_id,cancelled_lag_id,rejected_lead_id,rejected_lag_id,unknown_result_lead_id,unknown_result_lag_id,cancel_accepted_lead_id,cancel_accepted_lag_id,cancel_rejected_lead_id,cancel_rejected_lag_id,continuity_lost_lead_id,continuity_lost_lag_id,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567627,9,0,t-432345564227567627,,,1461319243787808776,TACUSDT,411,kBinance,411,1784131578393000000,1784131578393967235,1784131578393967548,1784131578393968665,1784131578393000000,1784131578393967235,11054937031984,968665,1784131578390000000,1784131578390663978,370767222626,3968665,3000000,200000000,true,-,kLead,entry,1,kEntrySubmit,kShort,432345564227567627,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,0.003002,0.003001,0.003001,1e-06,1,1,1753,1753,0,1753,1753,0,0,0,,,kNone,,,,,,,,,,,,,,,,,,,,,,,,,,2326011,,,,11054937032420,370767222711,,,,,,,11054937032879,370767222771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131578393987306,1784131578396313317,1784131578398236582,submitted_v1,
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567628,10,0,t-432345564227567628,,,1461319250700021765,TACUSDT,411,kBinance,411,1784131580041000000,1784131580042068879,1784131580042069180,1784131580042069990,1784131580041000000,1784131580042068879,11054937286989,1069990,1784131580000000000,1784131580001162137,370767235295,42069990,3000000,200000000,true,-,kLead,entry,2,kEntrySubmit,kShort,432345564227567628,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,0.002982,0.002981,0.002981,1e-06,1,1,1764,1764,0,1764,1764,0,0,0,,,kNone,,,,,,,,,,,,,,,,,,,,,,,,,,2311458,,,,11054937287532,370767235685,,,,,,,11054937287986,370767235760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131580042078734,1784131580044390192,1784131580046066759,submitted_v1,
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567629,11,0,t-432345564227567629,,,1461319333319421953,HUSDT,211,kBinance,211,1784131599739000000,1784131599740413584,1784131599740413866,1784131599740414970,1784131599739000000,1784131599740413584,11054940122269,1414970,1784131599722000000,1784131599722643059,370767435399,18414970,3000000,200000000,true,-,kLead,entry,3,kEntrySubmit,kLong,432345564227567629,kOpenLong,kBuy,false,,kPartiallyCancelled,kImmediateOrCancel,kUnknown,0.06134,0.06136,0.06136,1e-05,2,2,86,86,71,15,15,0.8255813953488372093023255813953488,0.06134,0.06134,,,kNone,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,2260680,,,,11054940122974,370767435565,,,11054940123394,370767435599,,,11054940123394,370767435599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131599740431671,1784131599742692351,1784131599744676214,submitted_v1,
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567630,11,0,t-432345564227567630,,,1461319333776601094,HUSDT,211,kBinance,211,1784131599848000000,1784131599849440957,1784131599849441258,1784131599849441446,1784131599848000000,1784131599849440957,11054940141832,1441446,1784131599848000000,1784131599848862251,370767436989,1441446,3000000,200000000,true,-,kLead,exit,3,kExitSubmit,kLong,432345564227567629,kCloseLong,kSell,true,,kFilled,kUnknown,kUnknown,0.06169,0.06167,0.06167,1e-05,2,2,71,71,71,0,0,1,0.0617,0.0617,,,kNone,-0.00001,-1,-1.621008267142162425028367644674988,,3,,,,,,,,,,,,,,,,,,,,,2189310,,,,11054940142351,370767437009,,,,,11054940142809,370767437022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131599849442477,1784131599851631787,1784131599853692284,submitted_v1,
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567631,12,0,t-432345564227567631,,,1461320239003873283,RAVEUSDT,347,kBinance,347,1784131815671000000,1784131815672231988,1784131815672232331,1784131815672233551,1784131815671000000,1784131815672231988,11054970384364,1233551,1784131815664000000,1784131815664799648,657455536147,8233551,3000000,200000000,true,-,kLead,entry,2,kEntrySubmit,kShort,432345564227567631,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,0.28332,0.28326,0.28326,1e-05,6,6,18,18,0,18,18,0,0,0,,,kNone,,,,,,,,,,,,,,,,,,,,,,,,,,2323383,,,,11054970384783,657455536256,,,,,,,11054970385061,657455536363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131815672252826,1784131815674576209,1784131815676393192,submitted_v1,
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567632,13,0,t-432345564227567632,,,1461320541929091079,TACUSDT,411,kBinance,411,1784131887894000000,1784131887895015125,1784131887895015513,1784131887895015848,1784131887894000000,1784131887895015125,11054981641520,1015848,1784131887894000000,1784131887895011563,370769708010,1015848,3000000,200000000,true,-,kLead,entry,3,kEntrySubmit,kLong,432345564227567632,kOpenLong,kBuy,false,,kCancelled,kImmediateOrCancel,kUnknown,0.003,0.003001,0.003001,1e-06,1,1,1753,1753,0,1753,1753,0,0,0,,,kNone,,,,,,,,,,,,,,,,,,,,,,,,,,2512879,,,,11054981642056,370769708166,,,,,,,11054981642382,370769708203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131887895029454,1784131887897542333,1784131887899231225,submitted_v1,
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567633,14,0,t-432345564227567633,,,1461320545481666568,TACUSDT,411,kBinance,411,1784131888741000000,1784131888741446090,1784131888741446421,1784131888741447230,1784131888741000000,1784131888741446090,11054981742478,447230,1784131888740000000,1784131888740337630,370769713225,1447230,3000000,200000000,true,-,kLead,entry,4,kEntrySubmit,kShort,432345564227567633,kOpenShort,kSell,false,,kFilled,kUnknown,kUnknown,0.003049,0.003048,0.003048,1e-06,1,1,1726,1726,1726,0,0,1,0.003051,0.003051,,,kNone,-0.000002,-2,-6.55952771400459166939980321416858,,3,,,,,,,,,,,,,,,,,,,,,2534104,,,,11054981742720,370769713293,,,,,11054981742840,370769713334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131888741452208,1784131888743986312,1784131888745809376,submitted_v1,
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567634,14,0,t-432345564227567634,,,1461320545670410240,TACUSDT,411,kBitget,411,1784131888786000000,1784131888786642101,1784131888786642475,1784131888786642725,1784131888767000000,1784131888768558382,11054981744541,19642725,1784131888786000000,1784131888786642101,370769713526,642725,3000000,200000000,true,-,kLag,exit,4,kExitSubmit,kShort,432345564227567633,kCloseShort,kBuy,true,,kFilled,kUnknown,kUnknown,0.003045,0.003046,0.003046,1e-06,1,1,1726,1726,1726,0,0,1,0.003045,0.003045,,,kNone,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,2116962,,,,11054981744541,370769713526,,,,,11054981744541,370769713595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131888786643535,1784131888788760497,1784131888790722016,submitted_v1,
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567635,15,0,t-432345564227567635,,,1461320547377491969,TACUSDT,411,kBinance,411,1784131889194000000,1784131889194588963,1784131889194589358,1784131889194589732,1784131889194000000,1784131889194588963,11054981801532,589732,1784131889193000000,1784131889193305670,370769716526,1589732,3000000,200000000,true,-,kLead,entry,5,kEntrySubmit,kShort,432345564227567635,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,0.003051,0.00305,0.003050,1e-06,1,1,1724,1724,0,1724,1724,0,0,0,,,kNone,,,,,,,,,,,,,,,,,,,,,,,,,,2262042,,,,11054981801959,370769716569,,,,,,,11054981802418,370769716639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131889194593193,1784131889196855235,1784131889198651119,submitted_v1,
bitget_lead_lag_top20_highspeed_20260715T154837Z,432345564227567636,16,0,t-432345564227567636,,,1461320707369218080,UBUSDT,438,kBinance,438,1784131927338000000,1784131927339081546,1784131927339082020,1784131927339083384,1784131927338000000,1784131927339081546,11054986643927,1083384,1784131927313000000,1784131927313656025,370770011444,26083384,3000000,200000000,true,-,kLead,entry,1,kEntrySubmit,kShort,432345564227567636,kOpenShort,kSell,false,,kCancelled,kImmediateOrCancel,kUnknown,0.08424,0.08422,0.08422,1e-05,2,2,62,62,0,62,62,0,0,0,,,kNone,,,,,,,,,,,,,,,,,,,,,,,,,,2564461,,,,11054986644817,370770011949,,,,,,,11054986645348,370770012170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784131927339100372,1784131927341664833,1784131927343529595,submitted_v1,
