run_id,latency_key,local_order_id,exchange_order_id,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,request_send_local_ns,ack_local_receive_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,warnings
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711745,288230376151711745,281193503333301309,LAB_USDT,15,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,2,144115188075855874,1780330755527000000,7529809668472353,1780330755528007952,1780330755528008526,1780330755528019704,1780330755528860586,1780330755587060062,1780330755585547131,1780330755528524000,1780330755528270000,1780330755528524000,254000,1780330755586851000,0,1780330755584000000,840882,59040358,840882,59040358,57527427,56686545,,574,11178,,336586,209062,55476000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,1532,1942,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711746,288230376151711746,281193503333307712,LAB_USDT,15,2,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,3,144115188075855875,1780330761286000000,7529815427679586,1780330761287215002,1780330761287215526,1780330761287221583,1780330761287750767,1780330761300249264,1780330761296956269,1780330761287546000,1780330761287451000,1780330761287546000,95000,1780330761300093000,0,1780330761296000000,529184,13027681,529184,13027681,9734686,9205502,,524,6057,,204767,156264,8454000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,1161,1365,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711747,288230376151711747,281193503333307963,LAB_USDT,15,3,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,4,144115188075855876,1780330761303000000,7529815445072828,1780330761304608175,1780330761304608725,1780330761304610240,1780330761305182108,1780330761321271986,1780330761318194466,1780330761304975000,1780330761304852000,1780330761304975000,123000,1780330761321108000,0,1780330761315000000,571868,16661746,571868,16661746,13584226,13012358,,550,1515,,207108,163986,10025000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,1085,1175,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711748,288230376151711748,281193503333351337,LAB_USDT,15,4,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,5,144115188075855877,1780330814748000000,7529868889237291,1780330814748772604,1780330814748773101,1780330814748782980,1780330814751216357,1780330814853700986,1780330814852679021,1780330814749971000,1780330814749777000,1780330814749971000,194000,1780330814853501000,0,1780330814852000000,2433377,104918006,2433377,104918006,103896041,101462664,,497,9879,,1245357,199986,102029000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,786,741,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711749,288230376151711749,281193503333356680,LAB_USDT,15,5,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,6,144115188075855878,1780330819277000000,7529873418502998,1780330819278037775,1780330819278038442,1780330819278044857,1780330819278651270,1780330819281029761,1780330819284575567,1780330819278415000,1780330819278260000,1780330819278415000,155000,1780330819280830000,0,1780330819280000000,606413,2984904,606413,2984904,6530710,5924297,,667,6415,,236270,199761,1585000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,713,536,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711750,288230376151711750,281193503333356844,LAB_USDT,15,6,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,7,144115188075855879,1780330819283000000,7529873425127709,1780330819284663101,1780330819284663456,1780330819284664982,1780330819285177126,1780330819287577526,1780330819288292199,1780330819284960000,1780330819284860000,1780330819284960000,100000,1780330819287354000,0,1780330819287000000,512144,2912544,512144,2912544,3627217,3115073,,355,1526,,217126,223526,2040000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,686,455,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711751,288230376151711751,281193503333356876,LAB_USDT,15,7,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,8,144115188075855880,1780330819288000000,7529873430018172,1780330819289553545,1780330819289553941,1780330819289554911,1780330819290066233,1780330819291054301,1780330819291530485,1780330819289838000,1780330819289737000,1780330819289838000,101000,1780330819290842000,0,1780330819290000000,511322,1499390,511322,1499390,1975574,1464252,,396,970,,228233,212301,162000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,661,393,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711752,288230376151711752,281193503333356889,LAB_USDT,15,8,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,9,144115188075855881,1780330819290000000,7529873432076083,1780330819291611789,1780330819291612133,1780330819291613090,1780330819292158007,1780330819293186442,1780330819293744246,1780330819291933000,1780330819291820000,1780330819291933000,113000,1780330819292986000,0,1780330819292000000,544917,1573352,544917,1573352,2131156,1586239,,344,957,,225007,200442,67000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,644,327,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711753,288230376151711753,281193503333356924,LAB_USDT,15,9,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,10,144115188075855882,1780330819293000000,7529873435128642,1780330819294663965,1780330819294664275,1780330819294665219,1780330819295574707,1780330819296489031,1780330819296823259,1780330819295267000,1780330819294887000,1780330819295267000,380000,1780330819296287000,0,1780330819296000000,909488,1823812,909488,1823812,2158040,1248552,,310,944,,307707,202031,733000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,672,301,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h,20260601_161653_lab_usdt_2000gross_1000notional_150ticks_private_8h:288230376151711754,288230376151711754,281193503333391215,LAB_USDT,15,10,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,11,144115188075855883,1780330851092000000,7529905234091699,1780330851093627083,1780330851093627865,1780330851093636350,1780330851094263017,1780330851099630729,1780330851097868295,1780330851094015000,1780330851093846000,1780330851094015000,169000,1780330851099364000,0,1780330851097000000,626667,5994379,626667,5994379,4231945,3605278,,782,8485,,248017,266729,2985000,1,4,3409063,10.0.1.103,54800,10.0.1.154,80,4,4,,true,522,174,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
