local_order_id,request_sequence,side,action,order_price,price_tick,signal_lag_id,ack_lag_id,accepted_lag_id,cancelled_lag_id,canonical_category,canonical_cancelled_marketable,canonical_after_ack_market_records,feed,signal_id,signal_found,signal_local_ns,signal_contra_price,signal_marketable,signal_margin_ticks,ack_id,ack_found,ack_local_ns,ack_contra_price,ack_marketable,ack_margin_ticks,accepted_id,accepted_found,accepted_local_ns,accepted_contra_price,accepted_marketable,accepted_margin_ticks,cancelled_id,cancelled_found,cancelled_local_ns,cancelled_contra_price,cancelled_marketable,cancelled_margin_ticks,signal_to_ack_valid,signal_to_ack_records,signal_to_ack_marketable_records,signal_to_ack_first_marketable_id,signal_to_ack_last_marketable_id,signal_to_ack_best_margin_ticks,after_ack_to_cancelled_valid,after_ack_to_cancelled_records,after_ack_to_cancelled_marketable_records,after_ack_to_cancelled_first_marketable_id,after_ack_to_cancelled_last_marketable_id,after_ack_to_cancelled_best_margin_ticks,accepted_to_cancelled_valid,accepted_to_cancelled_records,accepted_to_cancelled_marketable_records,accepted_to_cancelled_first_marketable_id,accepted_to_cancelled_last_marketable_id,accepted_to_cancelled_best_margin_ticks,after_accepted_to_cancelled_valid,after_accepted_to_cancelled_records,after_accepted_to_cancelled_marketable_records,after_accepted_to_cancelled_first_marketable_id,after_accepted_to_cancelled_last_marketable_id,after_accepted_to_cancelled_best_margin_ticks
288230376151712054,311,kSell,kOpenShort,0.36483,1e-05,2252159820,2252159820,2252159962,2252160003,marketable_at_ack_stage_only,false,0,source2,2252159820,true,1781874997738439333,0.36487,true,4,2252159820,true,1781874997738439333,0.36487,true,4,2252159962,true,1781874997740513171,0.364,false,-83,2252160003,true,1781874997741578567,0.364,false,-83,true,1,1,2252159820,2252159820,4,true,3,0,,,-67,true,2,0,,,-83,true,1,0,,,-83
288230376151712054,311,kSell,kOpenShort,0.36483,1e-05,2252159820,2252159820,2252159962,2252160003,marketable_at_ack_stage_only,false,0,source3,2252159820,true,1781874997738420106,0.36487,true,4,2252159820,true,1781874997738420106,0.36487,true,4,2252159962,true,1781874997740575448,0.364,false,-83,2252160003,true,1781874997741652381,0.364,false,-83,true,1,1,2252159820,2252159820,4,true,3,0,,,-67,true,2,0,,,-83,true,1,0,,,-83
288230376151712055,312,kBuy,kOpenLong,0.35671,1e-05,2252177325,2252177361,,2252177404,marketable_at_ack_stage_only,false,0,canonical,2252177325,true,1781875014151379211,0.35667,true,4,2252177361,true,1781875014152467914,0.35667,true,4,,false,,,false,,2252177404,true,1781875014154695159,0.35682,false,-11,true,2,2,2252177325,2252177361,4,true,2,0,,,-3,false,0,0,,,,false,0,0,,,
288230376151712055,312,kBuy,kOpenLong,0.35671,1e-05,2252177325,2252177361,,2252177404,marketable_at_ack_stage_only,false,0,source0,2252177325,true,1781875014151426580,0.35667,true,4,2252177361,true,1781875014152467416,0.35667,true,4,,false,,,false,,2252177404,true,1781875014154747946,0.35682,false,-11,true,2,2,2252177325,2252177361,4,true,2,0,,,-3,false,0,0,,,,false,0,0,,,
288230376151712055,312,kBuy,kOpenLong,0.35671,1e-05,2252177325,2252177361,,2252177404,marketable_at_ack_stage_only,false,0,source1,2252177325,true,1781875014151399006,0.35667,true,4,2252177361,true,1781875014152550724,0.35667,true,4,,false,,,false,,2252177404,true,1781875014154746738,0.35682,false,-11,true,2,2,2252177325,2252177361,4,true,2,0,,,-3,false,0,0,,,,false,0,0,,,
288230376151712055,312,kBuy,kOpenLong,0.35671,1e-05,2252177325,2252177361,,2252177404,marketable_at_ack_stage_only,false,0,source2,2252177325,true,1781875014151379381,0.35667,true,4,2252177361,true,1781875014152530104,0.35667,true,4,,false,,,false,,2252177404,true,1781875014154694727,0.35682,false,-11,true,2,2,2252177325,2252177361,4,true,2,0,,,-3,false,0,0,,,,false,0,0,,,
288230376151712055,312,kBuy,kOpenLong,0.35671,1e-05,2252177325,2252177361,,2252177404,marketable_at_ack_stage_only,false,0,source3,2252177325,true,1781875014151378814,0.35667,true,4,2252177361,true,1781875014152544779,0.35667,true,4,,false,,,false,,2252177404,true,1781875014154747882,0.35682,false,-11,true,2,2,2252177325,2252177361,4,true,2,0,,,-3,false,0,0,,,,false,0,0,,,
288230376151712056,313,kBuy,kOpenLong,0.35488,1e-05,2252179554,2252179624,,2252179711,marketable_signal_to_ack_only,false,0,canonical,2252179554,true,1781875015252876771,0.35484,true,3.99999999999,2252179624,true,1781875015271034879,0.355,false,-12,,false,,,false,,2252179711,true,1781875015274922528,0.35502,false,-14,true,2,1,2252179554,2252179554,3.99999999999,true,3,0,,,-13,false,0,0,,,,false,0,0,,,
288230376151712056,313,kBuy,kOpenLong,0.35488,1e-05,2252179554,2252179624,,2252179711,marketable_signal_to_ack_only,false,0,source0,2252179554,true,1781875015252911448,0.35484,true,3.99999999999,2252179624,true,1781875015271066023,0.355,false,-12,,false,,,false,,2252179711,true,1781875015274949902,0.35502,false,-14,true,2,1,2252179554,2252179554,3.99999999999,true,3,0,,,-13,false,0,0,,,,false,0,0,,,
288230376151712056,313,kBuy,kOpenLong,0.35488,1e-05,2252179554,2252179624,,2252179711,marketable_signal_to_ack_only,false,0,source1,2252179554,true,1781875015252944860,0.35484,true,3.99999999999,2252179624,true,1781875015271111452,0.355,false,-12,,false,,,false,,2252179711,true,1781875015274942382,0.35502,false,-14,true,2,1,2252179554,2252179554,3.99999999999,true,3,0,,,-13,false,0,0,,,,false,0,0,,,
