sample_type,local_order_id,request_sequence,action,side,status,raw_price,order_price,reference_order_price,entry_buffer_pct,price_tick,quantity,cumulative_filled_quantity,signal_lag_id,terminal_lag_id,x_in_ns,x_out_ns,signal_to_x_in_us,signal_to_x_out_us,lead_quote_latency_ns,lag_quote_latency_ns,lead_freshness_ns,lag_freshness_ns,quote_latency_threshold_would_block,quote_latency_threshold_block_reason,runtime_freshness_threshold_would_block,runtime_freshness_threshold_block_reason,signal_book_ticker_id,signal_exchange_ns,signal_contra_price,signal_contra_volume,signal_raw_any,signal_raw_margin_ticks,signal_order_any,signal_order_margin_ticks,signal_reference_any,signal_reference_margin_ticks,x_in_book_ticker_id,x_in_exchange_ns,x_in_contra_price,x_in_contra_volume,x_in_raw_any,x_in_raw_margin_ticks,x_in_order_any,x_in_order_margin_ticks,x_in_reference_any,x_in_reference_margin_ticks,x_out_book_ticker_id,x_out_exchange_ns,x_out_contra_price,x_out_contra_volume,x_out_raw_any,x_out_raw_margin_ticks,x_out_order_any,x_out_order_margin_ticks,x_out_reference_any,x_out_reference_margin_ticks,raw_lifetime_valid,raw_lifetime_any,raw_lifetime_records,raw_lifetime_marketable_records,raw_last_marketable_id,raw_last_marketable_exchange_ns,raw_lifetime_us,order_lifetime_valid,order_lifetime_any,order_lifetime_records,order_lifetime_marketable_records,order_last_marketable_id,order_last_marketable_exchange_ns,order_lifetime_us,reference_lifetime_valid,reference_lifetime_any,reference_lifetime_records,reference_lifetime_marketable_records,reference_last_marketable_id,reference_last_marketable_exchange_ns,reference_lifetime_us
cancel_open_no_fill,288230376151711998,255,kOpenShort,kSell,kCancelled,0.35357,0.35353,0.3501,0.00979117687733,1e-05,28,0,2251823367,2251823486,1781873330911747072,1781873330912030976,3436.072,3719.976,1515008,137216,1516746,3205746,true,freshness_lag,false,-,2251823367,1781873330908311000,0.35357,20,true,5.55111512313e-12,true,4,true,347,2251823367,1781873330908311000,0.35357,20,true,5.55111512313e-12,true,4,true,347,2251823367,1781873330908311000,0.35357,20,true,5.55111512313e-12,true,4,true,347,true,true,3,1,2251823367,1781873330908311000,0,true,true,3,1,2251823367,1781873330908311000,0,true,true,3,3,2251823486,1781873330913934000,5623
cancel_open_no_fill,288230376151712051,308,kOpenLong,kBuy,kCancelled,0.36461,0.36465,0.36818,0.00979117687733,1e-05,27,0,2252131092,2252131371,1781874929914461952,1781874929914580992,1449.952,1568.992,1222656,188416,1223989,1211989,true,freshness_lag,false,-,2252131092,1781874929913012000,0.36461,8,false,-5.55111512313e-12,true,3.99999999999,true,357,2252131184,1781874929914065000,0.36511,8,false,-50,false,-46,true,307,2252131184,1781874929914065000,0.36511,8,false,-50,false,-46,true,307,true,false,5,,,,,true,true,5,1,2252131092,1781874929913012000,0,true,true,5,5,2252131371,1781874929918618000,5606
cancel_open_no_fill,288230376151712053,310,kOpenLong,kBuy,kCancelled,0.36766,0.3677,0.37126,0.00979117687733,1e-05,27,0,2252147684,2252147899,1781874968152036096,1781874968152257024,1056.096,1277.024,813312,195584,814050,834050,false,-,false,-,2252147684,1781874968150980000,0.36766,24,false,-5.55111512313e-12,true,4,true,360,2252147727,1781874968151917000,0.36794,24,false,-28,false,-24,true,332,2252147727,1781874968151917000,0.36794,24,false,-28,false,-24,true,332,true,false,4,,,,,true,true,4,1,2252147684,1781874968150980000,0,true,true,4,4,2252147899,1781874968153943000,2963
cancel_open_no_fill,288230376151712054,311,kOpenShort,kSell,kCancelled,0.36487,0.36483,0.36129,0.00979117687733,1e-05,27,0,2252159820,2252160003,1781874997738790912,1781874997738945024,626.912,781.024,1566976,256768,1568405,404405,false,-,false,-,2252159820,1781874997738164000,0.36487,8,true,0,true,4,true,358,2252159820,1781874997738164000,0.36487,8,true,0,true,4,true,358,2252159820,1781874997738164000,0.36487,8,true,0,true,4,true,358,true,true,4,1,2252159820,1781874997738164000,0,true,true,4,1,2252159820,1781874997738164000,0,true,true,4,4,2252160003,1781874997741384000,3220
cancel_open_no_fill,288230376151712055,312,kOpenLong,kBuy,kCancelled,0.35667,0.35671,0.36017,0.00979117687733,1e-05,28,0,2252177325,2252177404,1781875014152222976,1781875014152382976,1064.976,1224.976,1009152,221184,1010012,852012,false,-,false,-,2252177325,1781875014151158000,0.35667,847,false,-5.55111512313e-12,true,4,true,350,2252177325,1781875014151158000,0.35667,847,false,-5.55111512313e-12,true,4,true,350,2252177361,1781875014152276000,0.35667,810,false,-5.55111512313e-12,true,4,true,350,true,false,4,,,,,true,true,4,2,2252177361,1781875014152276000,1118,true,true,4,4,2252177404,1781875014154495000,3337
cancel_open_no_fill,288230376151712056,313,kOpenLong,kBuy,kCancelled,0.35484,0.35488,0.35832,0.00979117687733,1e-05,28,0,2252179554,2252179711,1781875015271272960,1781875015271502080,18609.96,18839.08,1032704,213760,1033582,18370582,true,freshness_lag,false,-,2252179554,1781875015252663000,0.35484,8,false,-5.55111512313e-12,true,3.99999999999,true,348,2252179624,1781875015270844000,0.355,267,false,-16,false,-12,true,332,2252179624,1781875015270844000,0.355,267,false,-16,false,-12,true,332,true,false,5,,,,,true,true,5,1,2252179554,1781875015252663000,0,true,true,5,5,2252179711,1781875015274701000,22038
cancel_open_no_fill,288230376151712057,314,kOpenLong,kBuy,kCancelled,0.35522,0.35526,0.3587,0.00979117687733,1e-05,28,0,2252182910,2252182971,1781875018733278976,1781875018733392896,1399.976,1513.896,1080320,187392,1081263,1202263,true,freshness_lag,false,-,2252182910,1781875018731879000,0.35522,8,false,-5.55111512313e-12,true,4,true,348,2252182913,1781875018733051000,0.35522,8,false,-5.55111512313e-12,true,4,true,348,2252182913,1781875018733051000,0.35522,8,false,-5.55111512313e-12,true,4,true,348,true,false,4,,,,,true,true,4,2,2252182913,1781875018733051000,1172,true,true,4,4,2252182971,1781875018735759000,3880
cancel_open_no_fill,288230376151712060,317,kOpenLong,kBuy,kCancelled,0.35227,0.35231,0.35572,0.00979117687733,1e-05,28,0,2252201683,2252201787,1781875047323762944,1781875047324133120,13293.944,13664.12,1505536,191488,1506974,13037974,true,freshness_lag,false,-,2252201683,1781875047310469000,0.35227,33,true,0,true,4,true,345,2252201683,1781875047310469000,0.35227,33,true,0,true,4,true,345,2252201726,1781875047323863000,0.35257,1542,false,-30,false,-26,true,315,true,true,3,1,2252201683,1781875047310469000,0,true,true,3,1,2252201683,1781875047310469000,0,true,true,3,3,2252201787,1781875047325279000,14810
cancel_open_no_fill,288230376151712062,319,kOpenShort,kSell,kCancelled,0.35522,0.35518,0.35174,0.00979117687733,1e-05,28,0,2252260107,2252260250,1781875113836244992,1781875113836359936,831.992,946.936,1010176,224256,1011475,598475,false,-,false,-,2252260107,1781875113835413000,0.35522,8,true,5.55111512313e-12,true,4,true,348,2252260107,1781875113835413000,0.35522,8,true,5.55111512313e-12,true,4,true,348,2252260107,1781875113835413000,0.35522,8,true,5.55111512313e-12,true,4,true,348,true,true,3,1,2252260107,1781875113835413000,0,true,true,3,1,2252260107,1781875113835413000,0,true,true,3,3,2252260250,1781875113837443000,2030
cancel_open_no_fill,288230376151712066,323,kOpenShort,kSell,kCancelled,0.35599,0.35595,0.3525,0.00979117687733,1e-05,28,0,2252328857,2252329211,1781875263957708032,1781875263957893120,1343.032,1528.12,1475072,194048,1476703,1111703,true,freshness_lag,false,-,2252328857,1781875263956365000,0.35599,8,true,5.55111512313e-12,true,4,true,349,2252328977,1781875263957490000,0.35491,8,false,-108,false,-104,true,241,2252328977,1781875263957490000,0.35491,8,false,-108,false,-104,true,241,true,true,10,1,2252328857,1781875263956365000,0,true,true,10,1,2252328857,1781875263956365000,0,true,true,10,10,2252329211,1781875263965715000,9350
