local_order_id,request_sequence,side,action,order_price,signal_lag_id,ack_lag_id,accepted_lag_id,cancelled_lag_id,canonical_category,canonical_signal_marketable,canonical_ack_marketable,canonical_accepted_marketable,canonical_cancelled_marketable,canonical_after_ack_market_records,source_count,source_signal_found_count,source_ack_found_count,source_accepted_found_count,source_cancelled_found_count,source_signal_marketable_count,source_ack_marketable_count,source_accepted_marketable_count,source_cancelled_marketable_count,source_after_ack_marketable_count,source_after_accepted_marketable_count,source_names_cancelled_marketable,source_names_after_ack_marketable,source0_ack_marketable,source0_accepted_marketable,source0_cancelled_marketable,source0_after_ack_market_records,source0_after_accepted_market_records,source1_ack_marketable,source1_accepted_marketable,source1_cancelled_marketable,source1_after_ack_market_records,source1_after_accepted_market_records,source2_ack_marketable,source2_accepted_marketable,source2_cancelled_marketable,source2_after_ack_market_records,source2_after_accepted_market_records,source3_ack_marketable,source3_accepted_marketable,source3_cancelled_marketable,source3_after_ack_market_records,source3_after_accepted_market_records
288230376151712086,343,kBuy,kOpenLong,0.34494,2252531107,2252531107,2252531166,2252531248,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712088,345,kBuy,kOpenLong,0.34574,2252536952,2252536952,2252537105,2252537105,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712112,369,kSell,kOpenShort,0.34537,2252637937,2252637937,2252638124,2252638124,marketable_after_ack_before_cancelled,true,true,false,false,2,4,4,4,4,4,4,4,0,0,4,0,,source0;source1;source2;source3,true,false,false,2,0,true,false,false,2,0,true,false,false,2,0,true,false,false,2,0
288230376151712114,371,kBuy,kOpenLong,0.34512,2252717817,2252717817,,2252717926,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,0,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712115,372,kBuy,kOpenLong,0.34565,2252717972,2252718004,,2252718140,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,0,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712139,396,kBuy,kOpenLong,0.35194,2252778488,2252778488,,2252778581,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,0,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712141,398,kSell,kOpenShort,0.34255,2252808187,2252808206,2252808365,2252808365,marketable_at_ack_stage_only,true,true,false,false,0,4,4,4,4,4,4,4,0,0,0,0,,,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0,true,false,false,0,0
288230376151712142,399,kSell,kOpenShort,0.34249,2252809422,2252809422,2252809422,2252809422,marketable_at_cancelled_stage,true,true,true,true,0,4,4,4,4,4,4,4,4,4,0,0,source0;source1;source2;source3,,true,true,true,0,0,true,true,true,0,0,true,true,true,0,0,true,true,true,0,0
288230376151712143,400,kSell,kOpenShort,0.34253,2252809498,2252809536,2252809536,2252809547,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
288230376151712144,401,kSell,kOpenShort,0.34237,2252813598,2252813611,2252813625,2252813625,marketable_signal_to_ack_only,true,false,false,false,0,4,4,4,4,4,4,0,0,0,0,0,,,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0,false,false,false,0,0
