exchange,symbol,exchange_symbol,tick_size,vol_30m_bps,vol_60m_bps,quote_volume_30m,quote_volume_60m,volume_30m,volume_60m,valid_30m,valid_60m,close_count,latest_closed_open_time_ms,reference_price
binance,ARB_USDT,ARBUSDT,0.0001,70.885067,94.648966,554845.926990,1499119.833120,6067714.200000,16367778.900000,true,true,120,1780455240000,0.091400
binance,ARC_USDT,ARCUSDT,0.00001,33.648714,42.602306,30426.501660,72537.980550,428448.000000,1021718.000000,true,true,120,1780455240000,0.070950
binance,ARIA_USDT,ARIAUSDT,0.0001,137.340448,199.087492,30813.729900,96731.579020,846371.000000,2642035.000000,true,true,120,1780455240000,0.036400
binance,ARKM_USDT,ARKMUSDT,0.0001,81.668935,126.338763,81703.269200,224114.971100,611800.000000,1670265.000000,true,true,120,1780455240000,0.133000
binance,ARK_USDT,ARKUSDT,0.0001,39.076863,79.294894,11249.176700,27149.886500,77663.000000,187334.000000,true,true,120,1780455240000,0.145000
binance,ARPA_USDT,ARPAUSDT,0.00001,34.517179,66.502677,22569.722070,65625.941170,2346779.000000,6809981.000000,true,true,120,1780455240000,0.009610
binance,AR_USDT,ARUSDT,0.001,78.966669,119.038637,77027.056200,220667.311300,36015.100000,103020.200000,true,true,120,1780455240000,2.144000
binance,ASR_USDT,ASRUSDT,0.001,57.526135,128.617780,19075.951100,67580.353200,20025.400000,71128.300000,true,true,120,1780455240000,0.953000
binance,ASTER_USDT,ASTERUSDT,0.0001,30.474173,57.858810,617036.856300,1450500.383300,913539.000000,2143773.000000,true,true,120,1780455240000,0.677300
binance,ASTR_USDT,ASTRUSDT,0.000001,51.269338,73.482800,73589.096119,95193.753899,10857695.000000,14026655.000000,true,true,120,1780455240000,0.006781
binance,ATH_USDT,ATHUSDT,0.000001,50.807172,112.683784,42676.907196,129631.274322,7961203.000000,24078438.000000,true,true,120,1780455240000,0.005345
binance,ATOM_USDT,ATOMUSDT,0.001,55.542220,70.439782,258262.421990,548215.359990,139994.510000,297057.460000,true,true,120,1780455240000,1.846000
binance,AT_USDT,ATUSDT,0.00001,38.522677,49.491564,16953.422180,42312.759820,141236.000000,352250.000000,true,true,120,1780455240000,0.120160
binance,AUCTION_USDT,AUCTIONUSDT,0.001,38.794465,60.896758,26076.632870,54545.708100,6176.650000,12908.300000,true,true,120,1780455240000,4.227000
binance,AVAAI_USDT,AVAAIUSDT,0.000001,78.915601,122.759094,20056.812476,48680.170832,3204365.000000,7733114.000000,true,true,120,1780455240000,0.006254
binance,AVAX_USDT,AVAXUSDT,0.001,41.376024,65.745289,1446281.491000,4746581.072000,176981.000000,578445.000000,true,true,120,1780455240000,8.170000
binance,AVA_USDT,AVAUSDT,0.0001,51.718638,80.274976,11560.220060,20464.083020,55348.400000,97879.200000,true,true,120,1780455240000,0.209600
binance,AVNT_USDT,AVNTUSDT,0.0001,81.826596,123.927202,92967.086400,179162.801100,705959.000000,1362807.000000,true,true,120,1780455240000,0.131400
binance,AWE_USDT,AWEUSDT,0.00001,41.761260,73.757262,24245.047370,51655.449330,454255.000000,965113.000000,true,true,120,1780455240000,0.053360
binance,AXS_USDT,AXSUSDT,0.001,57.074557,93.604722,103017.014000,262305.064000,91821.000000,233226.000000,true,true,120,1780455240000,1.122000
