exchange,symbol,exchange_symbol,tick_size,vol_30m_bps,vol_60m_bps,quote_volume_30m,quote_volume_60m,volume_30m,volume_60m,valid_30m,valid_60m,close_count,latest_closed_open_time_ms,reference_price
gate,ARC_USDT,ARC_USDT,0.00001,39.479411,49.817720,1207.200300,3852.792000,1699.000000,5420.000000,true,true,120,1780455240000,0.071040
gate,ARIA_USDT,ARIA_USDT,0.00001,76.916954,121.667501,171.463000,4823.163400,40.000000,1304.000000,true,true,120,1780455240000,0.036620
gate,ARKM_USDT,ARKM_USDT,0.0001,86.093726,152.570218,2285.594600,5888.469000,17116.000000,43889.000000,true,true,120,1780455240000,0.133000
gate,ARK_USDT,ARK_USDT,0.0001,35.155432,54.767662,53.031500,134.927400,365.000000,930.000000,true,true,120,1780455240000,0.145300
gate,ARPA_USDT,ARPA_USDT,0.000001,38.192821,58.856852,371.580150,680.607520,3864.000000,7065.000000,true,true,120,1780455240000,0.009621
gate,AR_USDT,AR_USDT,0.001,91.687635,127.496933,4879.836700,9923.767800,22818.000000,46344.000000,true,true,120,1780455240000,2.142000
gate,ASR_USDT,ASR_USDT,0.001,50.357063,100.746211,165.583000,13694.916000,174.000000,14434.000000,true,true,120,1780455240000,0.952000
gate,ASTER_USDT,ASTER_USDT,0.0001,31.519466,59.080677,42349.424000,63178.219000,6269.000000,9345.000000,true,true,120,1780455240000,0.677200
gate,ASTR_USDT,ASTR_USDT,0.000001,34.762300,60.677068,109.096090,238.789590,1612.000000,3517.000000,true,true,120,1780455240000,0.006763
gate,ATH_USDT,ATH_USDT,0.000001,64.742662,117.299785,881.152500,11595.202000,1642.000000,21452.000000,true,true,120,1780455240000,0.005354
gate,ATOM_USDT,ATOM_USDT,0.001,65.294183,69.435030,1595.298000,1842.697000,865.000000,999.000000,true,true,120,1780455240000,1.847000
gate,AT_USDT,AT_USDT,0.00001,29.610750,46.535670,260.665500,401.208400,217.000000,334.000000,true,true,120,1780455240000,0.120280
gate,AUCTION_USDT,AUCTION_USDT,0.001,31.402735,67.095161,1049.642200,5886.302300,2483.000000,13924.000000,true,true,120,1780455240000,4.230000
gate,AVAAI_USDT,AVAAI_USDT,0.000001,63.682760,111.286527,4238.489300,4743.980410,67654.000000,75640.000000,true,true,120,1780455240000,0.006256
gate,AVAX_USDT,AVAX_USDT,0.001,35.548726,64.478412,151662.357000,375013.355000,18551.000000,45723.000000,true,true,120,1780455240000,8.171000
gate,AVA_USDT,AVA_USDT,0.0001,33.484844,33.484844,707.493000,707.493000,3390.000000,3390.000000,true,true,120,1780455240000,0.208700
gate,AVNT_USDT,AVNT_USDT,0.0001,76.686608,118.826380,5679.230000,7357.325000,4307.000000,5585.000000,true,true,120,1780455240000,0.131400
gate,AWE_USDT,AWE_USDT,0.00001,46.759648,90.999833,5.334000,32.131000,1.000000,6.000000,true,true,120,1780455240000,0.053340
gate,AXS_USDT,AXS_USDT,0.0001,49.295805,76.038368,799.917420,7674.055450,7127.000000,68168.000000,true,true,120,1780455240000,1.122200
gate,AZTEC_USDT,AZTEC_USDT,0.00001,91.766870,158.779071,32103.885000,59219.594000,14364.000000,26514.000000,true,true,120,1780455240000,0.022450
gate,A_USDT,A_USDT,0.00001,8.354219,17.030097,0.071790,3.021930,1.000000,42.000000,true,true,120,1780455240000,0.071790
gate,B2_USDT,B2_USDT,0.0001,51.106291,79.550460,375.237000,2025.376000,74.000000,399.000000,true,true,120,1780455240000,0.504400
gate,BABY_USDT,BABY_USDT,0.00001,109.166810,120.071440,3184.681000,6369.008000,2319.000000,4636.000000,true,true,120,1780455240000,0.013700
gate,BANANAS31_USDT,BANANAS31_USDT,0.000001,82.297206,82.297206,10.528000,10.528000,1.000000,1.000000,true,true,120,1780455240000,0.010528
gate,BANANA_USDT,BANANA_USDT,0.001,17.202696,47.313476,7.794800,31.970200,23.000000,94.000000,true,true,120,1780455240000,3.386000
gate,BAND_USDT,BAND_USDT,0.0001,13.470761,87.520527,23.145110,59.216720,1178.000000,3011.000000,true,true,120,1780455240000,0.196600
gate,BANK_USDT,BANK_USDT,0.00001,31.842551,61.252976,24.232000,120.804000,7.000000,35.000000,true,true,120,1780455240000,0.034600
gate,BAN_USDT,BAN_USDT,0.00001,71.136254,101.060431,1304.428700,3722.705000,1670.000000,4785.000000,true,true,120,1780455240000,0.078310
gate,BARD_USDT,BARD_USDT,0.0001,11.191943,34.499966,17.880000,78.631000,10.000000,44.000000,true,true,120,1780455240000,0.178800
gate,BASED_USDT,BASED_USDT,0.00001,63.722632,129.642437,1154.617200,22137.219000,1728.000000,33306.000000,true,true,120,1780455240000,0.066660
