run_id,signal_index,log_time,trigger_ticker_id,trigger_exchange,trigger_symbol_id,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260526_043440_12pair_live_30m,1,2026-05-26 04:40:39.512062579,10631762173772,kBinance,4,PROVE_USDT,4,kLead,kOpenShort,kSell,false,0,0.2535,288230376151711745,2,260082878985011780,entry,1,kEntrySubmit,kShort,0.2533,0.0001,2,39,kCancelled,0,0,,3016404,1779770439521375467,
20260526_043440_12pair_live_30m,2,2026-05-26 04:43:17.597509151,10631772116737,kBinance,6,ZEC_USDT,6,kLead,kOpenShort,kSell,false,0,622.03,288230376151711746,3,206602634307312321,entry,1,kEntrySubmit,kShort,622.01,0.01,2,16,kCancelled,0,0,,3063596,1779770597613658747,
20260526_043440_12pair_live_30m,3,2026-05-26 04:47:21.843838659,10631789450667,kBinance,12,INJ_USDT,12,kLead,kOpenShort,kSell,false,0,5.68,288230376151711747,4,88664618536890485,entry,1,kEntrySubmit,kShort,5.678,0.001,2,176,kCancelled,0,0,,3307923,1779770841870492107,
20260526_043440_12pair_live_30m,4,2026-05-26 04:47:54.136144952,10631792714506,kBinance,11,SUI_USDT,11,kLead,kOpenLong,kBuy,false,0,1.0307,288230376151711748,5,175640389422521381,entry,1,kEntrySubmit,kLong,1.0309,0.0001,2,97,kCancelled,0,0,,3192579,1779770874164936034,
20260526_043440_12pair_live_30m,5,2026-05-26 04:54:15.428664877,10631817864420,kBinance,9,DASH_USDT,9,kLead,kOpenShort,kSell,false,0,44.08,288230376151711749,6,51509920985043349,entry,1,kEntrySubmit,kShort,44.06,0.01,2,226,kCancelled,0,0,,6738050,1779771255474651524,
20260526_043440_12pair_live_30m,6,2026-05-26 04:55:01.501976833,10631821177596,kBinance,5,RAVE_USDT,5,kLead,kOpenLong,kBuy,false,0,0.532,288230376151711750,7,294985777053746853,entry,1,kEntrySubmit,kLong,0.5322,0.0001,2,18.7,kCancelled,0,0,,3262230,1779771301507273750,
20260526_043440_12pair_live_30m,7,2026-05-26 04:59:16.675692103,10631838280521,kBinance,7,SIREN_USDT,7,kLead,kOpenLong,kBuy,false,0,0.46097,288230376151711751,8,223491133162551129,entry,1,kEntrySubmit,kLong,0.46099,1e-05,2,2.1,kCancelled,0,0,,3539525,1779771556686498817,
20260526_043440_12pair_live_30m,8,2026-05-26 05:02:41.306493026,10631854524673,kBinance,12,INJ_USDT,12,kLead,kOpenShort,kSell,false,0,5.611,288230376151711752,9,88664618536913872,entry,2,kEntrySubmit,kShort,5.609,0.001,2,178,kCancelled,0,0,,3113530,1779771761311080093,
20260526_043440_12pair_live_30m,9,2026-05-26 05:04:32.220502668,10631863216531,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.614,288230376151711753,10,88664618536917769,entry,3,kEntrySubmit,kLong,5.616,0.001,2,178,kCancelled,0,0,,6560701,1779771872228791169,
20260526_043440_12pair_live_30m,10,2026-05-26 05:04:51.433766282,10631865086836,kBinance,7,SIREN_USDT,7,kLead,kOpenLong,kBuy,false,0,0.46032,288230376151711754,11,223491133162568786,entry,2,kEntrySubmit,kLong,0.46035,1e-05,2,2.1,kCancelled,0,0,,3108543,1779771891439435080,
