run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,lead_freshness_ns,lag_exchange_ns,lag_local_ns,lag_freshness_ns,max_lead_freshness_ns,max_lag_freshness_ns,freshness_guard_pass,freshness_reject_reason,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,ack_rtt_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711755,t-288230376151711755,12,144115188075855884,235876031616422117,SKYAI_USDT,378,kBinance,378,1781629276287000000,1781629276287989830,1781629276287990266,1781629276287990878,1781629276287000000,1781629276287989830,990878,1781629276287580000,1781629276287689002,410878,5000000,20000000,true,-,kLead,entry,3,kEntrySubmit,kShort,288230376151711755,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.43538,0.43534,0.43534,1e-05,4,4,22,22,0,22,22,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,640,328,0,0,0,10,837092,1781629276288239000,1781629276288529000,290000,,,,,,,,,,,,,,,,,,,,,,,,,1781629276288003257,1781629276288840349,1781629276293601666,submitted_v1,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711756,t-288230376151711756,13,144115188075855885,65865145168682863,FET_USDT,166,kBinance,166,1781629283983000000,1781629283984496041,1781629283984496787,1781629283984497571,1781629283983000000,1781629283984496041,1497571,1781629283976359000,1781629283976481800,8138571,5000000,20000000,true,-,kLead,entry,1,kEntrySubmit,kLong,288230376151711756,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.2054,0.2055,0.2055,0.0001,1,1,97,97,0,97,97,0,0,0,1.0,,kNone,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,608,234,0,0,0,10,609397,1781629283984711000,1781629283984862000,151000,,,,,,,,,,,,,,,,,,,,,,,,,1781629283984508226,1781629283985117623,1781629283994418636,submitted_v1,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711757,t-288230376151711757,14,144115188075855886,235876031616450355,SKYAI_USDT,378,kBinance,378,1781629516009000000,1781629516010095694,1781629516010096374,1781629516010097009,1781629516009000000,1781629516010095694,1097009,1781629516009554000,1781629516009663792,543009,5000000,20000000,true,-,kLead,entry,4,kEntrySubmit,kShort,288230376151711757,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.43445,0.43441,0.43441,1e-05,4,4,23,23,0,23,23,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,864,868,0,0,0,10,3751496,1781629516010298000,1781629516013621000,3323000,,,,,,,,,,,,,,,,,,,,,,,,,1781629516010112914,1781629516013864410,1781629516015415565,submitted_v1,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711758,t-288230376151711758,15,144115188075855887,0,H_USDT,211,kBinance,211,1781629526336000000,1781629526336913706,1781629526336914319,1781629526336914819,1781629526336000000,1781629526336913706,914819,1781629526336763000,1781629526336873619,151819,5000000,20000000,true,-,kLead,entry,2,kEntrySubmit,kLong,288230376151711758,kOpenLong,kBuy,false,kImmediateOrCancel,kRejected,,,0.26603,0.26617,0.26617,1e-05,13,14,37,37,0,,,0,0,0,10.0,,,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,731,555,0,0,0,10,588542,1781629526337114000,1781629526337229000,115000,,,,,,,,,,,,,,,,,,,,,,,,,1781629526336929008,1781629526337517550,1781629526338556363,submitted_v1,missing_exchange_order_id
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711759,t-288230376151711759,16,144115188075855888,0,H_USDT,211,kBinance,211,1781629526337000000,1781629526338548246,1781629526338560043,1781629526338560296,1781629526337000000,1781629526338548246,1560296,1781629526336763000,1781629526336873619,1797296,5000000,20000000,true,-,kLead,entry,3,kEntrySubmit,kLong,288230376151711759,kOpenLong,kBuy,false,kImmediateOrCancel,kRejected,,,0.26603,0.26617,0.26617,1e-05,13,14,37,37,0,,,0,0,0,10.0,,,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,707,464,0,0,0,10,570127,1781629526338737000,1781629526338843000,106000,,,,,,,,,,,,,,,,,,,,,,,,,1781629526338562091,1781629526339132218,1781629526339995281,submitted_v1,missing_exchange_order_id
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711760,t-288230376151711760,17,144115188075855889,206602635062219826,ZEC_USDT,481,kBinance,481,1781629603835000000,1781629603836002714,1781629603836003036,1781629603836003741,1781629603835000000,1781629603836002714,1003741,1781629603835533000,1781629603835742188,470741,5000000,20000000,true,-,kLead,entry,2,kEntrySubmit,kLong,288230376151711760,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,503.55,503.68,503.68,0.01,13,13,19,19,0,19,19,0,0,0,0.01,,kNone,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,483,151,0,0,0,10,830889,1781629603836254000,1781629603836539000,285000,,,,,,,,,,,,,,,,,,,,,,,,,1781629603836018517,1781629603836849406,1781629603842390626,submitted_v1,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711761,t-288230376151711761,18,144115188075855890,123567515800281987,NEAR_USDT,295,kBinance,295,1781629645010000000,1781629645011488465,1781629645011489064,1781629645011490055,1781629645010000000,1781629645011488465,1490055,1781629645011199000,1781629645011334034,291055,5000000,20000000,true,-,kLead,entry,1,kEntrySubmit,kShort,288230376151711761,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,2.3265,2.3259,2.3259,0.0001,6,6,42,42,0,42,42,0,0,0,1.0,,kNone,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,442,83,0,0,0,10,628790,1781629645011689000,1781629645011825000,136000,,,,,,,,,,,,,,,,,,,,,,,,,1781629645011506014,1781629645012134804,1781629645029262827,submitted_v1,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711762,t-288230376151711762,19,144115188075855891,353814045972520600,SLX_USDT,381,kBinance,381,1781629767614000000,1781629767615570131,1781629767615570782,1781629767615571131,1781629767614000000,1781629767615570131,1571131,1781629767614560000,1781629767614684587,1011131,5000000,20000000,true,-,kLead,entry,1,kEntrySubmit,kLong,288230376151711762,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.17977,0.17983,0.17983,1e-05,6,6,55,55,0,55,55,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,432,89,0,0,0,10,726489,1781629767615785000,1781629767615896000,111000,,,,,,,,,,,,,,,,,,,,,,,,,1781629767615583928,1781629767616310417,1781629767628815634,submitted_v1,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711763,t-288230376151711763,20,144115188075855892,353814045972521075,SLX_USDT,381,kBinance,381,1781629767901000000,1781629767902510675,1781629767902511019,1781629767902511835,1781629767901000000,1781629767902510675,1511835,1781629767901588000,1781629767901751193,923835,5000000,20000000,true,-,kLead,entry,2,kEntrySubmit,kShort,288230376151711763,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.1805,0.18044,0.18044,1e-05,6,6,55,55,0,55,55,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,450,103,0,0,0,10,590678,1781629767902698000,1781629767902823000,125000,,,,,,,,,,,,,,,,,,,,,,,,,1781629767902516907,1781629767903107585,1781629767903978931,submitted_v1,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,288230376151711764,t-288230376151711764,21,144115188075855893,235876031616484517,SKYAI_USDT,378,kBinance,378,1781629889171000000,1781629889171950267,1781629889171950916,1781629889171951844,1781629889171000000,1781629889171950267,951844,1781629889170918000,1781629889171089293,1033844,5000000,20000000,true,-,kLead,entry,5,kEntrySubmit,kLong,288230376151711764,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.43454,0.43458,0.43458,1e-05,4,4,23,23,0,23,23,0,0,0,10.0,,kNone,,,,,,0.0002,,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,424,64,0,0,0,10,639716,1781629889172154000,1781629889172295000,141000,,,,,,,,,,,,,,,,,,,,,,,,,1781629889171966360,1781629889172606076,1781629889173866478,submitted_v1,
