run_id,signal_index,log_time,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,lead_freshness_ns,lag_exchange_ns,lag_local_ns,lag_freshness_ns,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,request_send_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,1,2026-06-16 16:54:58.075435917,kBinance,211,1781628898074000000,1781628898075433645,1781628898075434149,1781628898075434554,1781628898074000000,1781628898075433645,1434554,1781628898074981000,1781628898075104960,453554,H_USDT,211,kLead,kOpenShort,kSell,false,0,0.26681,288230376151711745,2,1781628898075451889,504,405,17335,18244,0,entry,1,kEntrySubmit,kShort,0.26668,1e-05,13,37,kRejected,0,0,,13257990,1781628898096332555,missing_exchange_order_id
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,2,2026-06-16 16:56:00.071070166,kBinance,481,1781628960070000000,1781628960071067994,1781628960071068426,1781628960071068926,1781628960070000000,1781628960071067994,1068926,1781628960069760000,1781628960069891038,1308926,ZEC_USDT,481,kLead,kOpenLong,kBuy,false,0,503.47,288230376151711746,3,1781628960071086995,432,500,18069,19001,206602635061933521,entry,1,kEntrySubmit,kLong,503.6,0.01,13,19,kCancelled,0,0,,647888,1781628960088153096,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,3,2026-06-16 16:57:00.429900105,kBinance,378,1781629020429000000,1781629020429897043,1781629020429897905,1781629020429898841,1781629020429000000,1781629020429897043,898841,1781629019747713000,1781629019747818081,682185841,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,862,936,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,4,2026-06-16 16:57:00.430884727,kBinance,378,1781629020429000000,1781629020430884062,1781629020430884434,1781629020430884656,1781629020429000000,1781629020430884062,1884656,1781629019747713000,1781629019747818081,683171656,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,372,222,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,5,2026-06-16 16:57:00.430886168,kBinance,378,1781629020430000000,1781629020430885601,1781629020430885828,1781629020430886114,1781629020430000000,1781629020430885601,886114,1781629019747713000,1781629019747818081,683173114,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,227,286,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,6,2026-06-16 16:57:00.431044085,kBinance,378,1781629020430000000,1781629020431043422,1781629020431043766,1781629020431044030,1781629020430000000,1781629020431043422,1044030,1781629019747713000,1781629019747818081,683331030,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,344,264,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,7,2026-06-16 16:57:00.431045336,kBinance,378,1781629020430000000,1781629020431044442,1781629020431045055,1781629020431045279,1781629020430000000,1781629020431044442,1045279,1781629019747713000,1781629019747818081,683332279,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,613,224,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,8,2026-06-16 16:57:00.431444218,kBinance,378,1781629020430000000,1781629020431443426,1781629020431443921,1781629020431444161,1781629020430000000,1781629020431443426,1444161,1781629019747713000,1781629019747818081,683731161,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,495,240,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,9,2026-06-16 16:57:00.431445544,kBinance,378,1781629020430000000,1781629020431444942,1781629020431445158,1781629020431445490,1781629020430000000,1781629020431444942,1445490,1781629019747713000,1781629019747818081,683732490,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,216,332,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,10,2026-06-16 16:57:00.431541580,kBinance,378,1781629020431000000,1781629020431532770,1781629020431541190,1781629020431541523,1781629020431000000,1781629020431532770,541523,1781629019747713000,1781629019747818081,683828523,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,8420,333,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,11,2026-06-16 16:57:00.431656620,kBinance,378,1781629020431000000,1781629020431656031,1781629020431656324,1781629020431656566,1781629020431000000,1781629020431656031,656566,1781629019747713000,1781629019747818081,683943566,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,293,242,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,12,2026-06-16 16:57:00.432011147,kBinance,378,1781629020431000000,1781629020432010468,1781629020432010880,1781629020432011093,1781629020431000000,1781629020432010468,1011093,1781629019747713000,1781629019747818081,684298093,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,412,213,,,,,,,,,,,,,,,,,,missing_order
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,13,2026-06-16 16:57:00.432012479,kBinance,378,1781629020431000000,1781629020432011685,1781629020432012072,1781629020432012425,1781629020431000000,1781629020432011685,1012425,1781629019747713000,1781629019747818081,684299425,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.43572,,,,387,353,,,,,,,,,,,,,,,,,,missing_order
