run_id,latency_key,local_order_id,exchange_order_id,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,lead_freshness_ns,lag_exchange_ns,lag_local_ns,lag_freshness_ns,max_lead_freshness_ns,max_lag_freshness_ns,freshness_guard_pass,freshness_reject_reason,request_send_local_ns,ack_local_receive_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,warnings
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711755,288230376151711755,235876031616422117,SKYAI_USDT,378,3,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,12,144115188075855884,1781629276287000000,1781629276287989830,1781629276287990266,1781629276287990878,1781629276287000000,1781629276287989830,990878,1781629276287580000,1781629276287689002,410878,5000000,20000000,true,-,1781629276288003257,1781629276288840349,1781629276290476685,1781629276293601666,1781629276288529000,1781629276288239000,1781629276288529000,290000,1781629276290204000,0,1781629276289000000,837092,2473428,837092,2473428,5598409,4761317,436,612,12379,13427,311349,272685,471000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,640,328,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711756,288230376151711756,65865145168682863,FET_USDT,166,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,13,144115188075855885,1781629283983000000,1781629283984496041,1781629283984496787,1781629283984497571,1781629283983000000,1781629283984496041,1497571,1781629283976359000,1781629283976481800,8138571,5000000,20000000,true,-,1781629283984508226,1781629283985117623,1781629283995485130,1781629283994418636,1781629283984862000,1781629283984711000,1781629283984862000,151000,1781629283995220000,0,1781629283992000000,609397,10976904,609397,10976904,9910410,9301013,746,784,10655,12185,255623,265130,7138000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,608,234,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711757,288230376151711757,235876031616450355,SKYAI_USDT,378,4,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,14,144115188075855886,1781629516009000000,1781629516010095694,1781629516010096374,1781629516010097009,1781629516009000000,1781629516010095694,1097009,1781629516009554000,1781629516009663792,543009,5000000,20000000,true,-,1781629516010112914,1781629516013864410,1781629516015334290,1781629516015415565,1781629516013621000,1781629516010298000,1781629516013621000,3323000,1781629516015072000,0,1781629516014000000,3751496,5221376,3751496,5221376,5302651,1551155,680,635,15905,17220,243410,262290,379000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,864,868,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711758,288230376151711758,0,H_USDT,211,2,kLong,entry,kOpenLong,kBuy,false,kRejected,,,15,144115188075855887,1781629526336000000,1781629526336913706,1781629526336914319,1781629526336914819,1781629526336000000,1781629526336913706,914819,1781629526336763000,1781629526336873619,151819,5000000,20000000,true,-,1781629526336929008,1781629526337517550,1781629526338551227,1781629526338556363,1781629526337229000,1781629526337114000,1781629526337229000,115000,1781629526338244000,0,0,588542,1622219,588542,1622219,1627355,1038813,613,500,14189,15302,288550,307227,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,731,555,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711759,288230376151711759,0,H_USDT,211,3,kLong,entry,kOpenLong,kBuy,false,kRejected,,,16,144115188075855888,1781629526337000000,1781629526338548246,1781629526338560043,1781629526338560296,1781629526337000000,1781629526338548246,1560296,1781629526336763000,1781629526336873619,1797296,5000000,20000000,true,-,1781629526338562091,1781629526339132218,1781629526339992984,1781629526339995281,1781629526338843000,1781629526338737000,1781629526338843000,106000,1781629526339750000,0,0,570127,1430893,570127,1430893,1433190,863063,11797,253,1795,13845,289218,242984,,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,707,464,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711760,288230376151711760,206602635062219826,ZEC_USDT,481,2,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,17,144115188075855889,1781629603835000000,1781629603836002714,1781629603836003036,1781629603836003741,1781629603835000000,1781629603836002714,1003741,1781629603835533000,1781629603835742188,470741,5000000,20000000,true,-,1781629603836018517,1781629603836849406,1781629603841865151,1781629603842390626,1781629603836539000,1781629603836254000,1781629603836539000,285000,1781629603841575000,0,1781629603840000000,830889,5846634,830889,5846634,6372109,5541220,322,705,14776,15803,310406,290151,3461000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,483,151,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711761,288230376151711761,123567515800281987,NEAR_USDT,295,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,18,144115188075855890,1781629645010000000,1781629645011488465,1781629645011489064,1781629645011490055,1781629645010000000,1781629645011488465,1490055,1781629645011199000,1781629645011334034,291055,5000000,20000000,true,-,1781629645011506014,1781629645012134804,1781629645024548343,1781629645029262827,1781629645011825000,1781629645011689000,1781629645011825000,136000,1781629645024253000,0,1781629645023000000,628790,13042329,628790,13042329,17756813,17128023,599,991,15959,17549,309804,295343,11175000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,442,83,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711762,288230376151711762,353814045972520600,SLX_USDT,381,1,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,19,144115188075855891,1781629767614000000,1781629767615570131,1781629767615570782,1781629767615571131,1781629767614000000,1781629767615570131,1571131,1781629767614560000,1781629767614684587,1011131,5000000,20000000,true,-,1781629767615583928,1781629767616310417,1781629767622913423,1781629767628815634,1781629767615896000,1781629767615785000,1781629767615896000,111000,1781629767622664000,0,1781629767622000000,726489,7329495,726489,7329495,13231706,12505217,651,349,12797,13797,414417,249423,6104000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,432,89,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711763,288230376151711763,353814045972521075,SLX_USDT,381,2,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,20,144115188075855892,1781629767901000000,1781629767902510675,1781629767902511019,1781629767902511835,1781629767901000000,1781629767902510675,1511835,1781629767901588000,1781629767901751193,923835,5000000,20000000,true,-,1781629767902516907,1781629767903107585,1781629767904129627,1781629767903978931,1781629767902823000,1781629767902698000,1781629767902823000,125000,1781629767903874000,0,1781629767903000000,590678,1612720,590678,1612720,1462024,871346,344,816,5072,6232,284585,255627,177000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,450,103,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711764,288230376151711764,235876031616484517,SKYAI_USDT,378,5,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,21,144115188075855893,1781629889171000000,1781629889171950267,1781629889171950916,1781629889171951844,1781629889171000000,1781629889171950267,951844,1781629889170918000,1781629889171089293,1033844,5000000,20000000,true,-,1781629889171966360,1781629889172606076,1781629889173812332,1781629889173866478,1781629889172295000,1781629889172154000,1781629889172295000,141000,1781629889173547000,0,1781629889173000000,639716,1845972,639716,1845972,1900118,1260402,649,928,14516,16093,311076,265332,705000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,424,64,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217,20260616_165210_29symbols_30d_fusion_off_l0_live_snapshot_20260617_022217:288230376151711765,288230376151711765,197595435392744665,WLD_USDT,461,2,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,22,144115188075855894,1781629896008000000,1781629896009209304,1781629896009209673,1781629896009210582,1781629896008000000,1781629896009209304,1210582,1781629896006720000,1781629896006845951,2490582,5000000,20000000,true,-,1781629896009222192,1781629896009905485,1781629896012732129,1781629896013737928,1781629896009591000,1781629896009412000,1781629896009591000,179000,1781629896012464000,0,1781629896011000000,683293,3509937,683293,3509937,4515736,3832443,369,909,11610,12888,314485,268129,1409000,1,4,725209,10.0.1.103,36564,10.0.1.154,80,4,4,,true,446,99,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
