run_id,latency_key,local_order_id,exchange_order_id,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,request_send_local_ns,ack_local_receive_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,warnings
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711745,288230376151711745,281193503324849316,LAB_USDT,15,1,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,2,144115188075855874,1780321452149000000,7520506290748398,1780321452150283772,1780321452150284522,1780321452150296454,1780321452150847914,1780321452167567754,1780321452167173978,1780321452150639000,1780321452150526000,1780321452150639000,113000,1780321452167360000,0,1780321452166000000,551460,17271300,551460,17271300,16877524,16326064,,750,11932,,208914,207754,15361000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,659,484,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711746,288230376151711746,281193503324869023,LAB_USDT,15,2,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,3,144115188075855875,1780321467442000000,7520521583566664,1780321467443102082,1780321467443102769,1780321467443110122,1780321467443643155,1780321467450220267,1780321467450468107,1780321467443437000,1780321467443343000,1780321467443437000,94000,1780321467450055000,0,1780321467449000000,533033,7110145,533033,7110145,7357985,6824952,,687,7353,,206155,165267,5563000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,559,270,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711747,288230376151711747,281193503325017620,LAB_USDT,15,3,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,4,144115188075855876,1780321634612000000,7520688753530375,1780321634613065846,1780321634613066422,1780321634613078572,1780321634613832788,1780321634617423866,1780321634616905083,1780321634613515000,1780321634613314000,1780321634613515000,201000,1780321634617175000,0,1780321634616000000,754216,4345294,754216,4345294,3826511,3072295,,576,12150,,317788,248866,2485000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,421,108,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711748,288230376151711748,281193503325132447,LAB_USDT,15,4,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,5,144115188075855877,1780321775626000000,7520829768028680,1780321775627563820,1780321775627564871,1780321775627576033,1780321775628304132,1780321775632738761,1780321775664143167,1780321775628007000,1780321775627814000,1780321775628007000,193000,1780321775632541000,0,1780321775632000000,728099,5162728,728099,5162728,36567134,35839035,,1051,11162,,297132,197761,3993000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,429,123,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711749,288230376151711749,281193503325213071,LAB_USDT,15,5,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,6,144115188075855878,1780321880813000000,7520934954079722,1780321880813614695,1780321880813615515,1780321880813626377,1780321880814224153,1780321880833732275,1780321880830908770,1780321880813991000,1780321880813873000,1780321880813991000,118000,1780321880833410000,0,1780321880829000000,597776,20105898,597776,20105898,17282393,16684617,,820,10862,,233153,322275,15009000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,399,70,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711750,288230376151711750,281193503325247407,LAB_USDT,15,6,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,7,144115188075855879,1780321940450000000,7520994592053809,1780321940451588807,1780321940451589494,1780321940451599470,1780321940456742439,1780321940574547540,1780321940576236123,1780321940455008000,1780321940451915000,1780321940455008000,3093000,1780321940574315000,0,1780321940573000000,5142969,122948070,5142969,122948070,124636653,119493684,,687,9976,,1734439,232540,117992000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,4,true,979,1207,0,0,0,10,kAckRttThreshold,5142969,22263,34073,15964,20339,1,42075,156,1780321940451599072,1780321940451600475,1780321940451600511,1780321940451600965,1780321940451601014,1780321940451608076,1780321940451612752,245,245,0,false,0,true,245,0,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711751,288230376151711751,281193503325247859,LAB_USDT,15,7,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,8,144115188075855880,1780321940576000000,7520994717533286,1780321940577068893,1780321940577069300,1780321940577071267,1780321940577829427,1780321940698178712,1780321940698295276,1780321940577543000,1780321940577322000,1780321940577543000,221000,1780321940697988000,0,1780321940697000000,758160,121107445,758160,121107445,121224009,120465849,,407,1967,,286427,190712,119457000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,948,967,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711752,288230376151711752,281193503325248280,LAB_USDT,15,8,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,9,144115188075855881,1780321940698000000,7520994839620734,1780321940699156325,1780321940699156615,1780321940699157789,1780321940699753189,1780321940811665869,1780321940840418788,1780321940699534000,1780321940699386000,1780321940699534000,148000,1780321940811479000,0,1780321940810000000,595400,112508080,595400,112508080,141260999,140665599,,290,1174,,219189,186869,110466000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,903,816,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711753,288230376151711753,281193503325251127,LAB_USDT,15,9,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,10,144115188075855882,1780321942967000000,7520997108699602,1780321942968235215,1780321942968236133,1780321942968238697,1780321942968869364,1780321943044238202,1780321943064225500,1780321942968661000,1780321942968483000,1780321942968661000,178000,1780321943044017000,0,1780321943042000000,630667,75999505,630667,75999505,95986803,95356136,,918,2564,,208364,221202,73339000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,867,683,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h,20260601_134128_lab_usdt_2000gross_500notional_100ticks_private_2h:288230376151711754,288230376151711754,281193503325291913,LAB_USDT,15,10,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,11,144115188075855883,1780321998782000000,7521052923413582,1780321998782949235,1780321998782950313,1780321998782959584,1780321998787117182,1780321998807432096,1780321998800608011,1780321998786900000,1780321998783208000,1780321998786900000,3692000,1780321998807249000,0,1780321998799000000,4157598,24472512,4157598,24472512,17648427,13490829,,1078,9271,,217182,183096,12100000,1,4,3390943,10.0.1.103,49504,10.0.1.154,80,4,4,,true,928,1060,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,cross_clock_bbo_to_strategy_ns;cross_clock_trigger_to_request_send_ns
