run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,ack_rtt_ns,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260526_041304_rave_latency_smoke_retry,288230376151711745,t-288230376151711745,2,144115188075855874,294985777053717137,RAVE_USDT,5,,,,,entry,288230376151711745,kEntrySubmit,kLong,288230376151711745,kOpenLong,kBuy,false,kImmediateOrCancel,kFilled,kUnknown,kUnknown,,0.5404,0.5404,0.0001,,,18.6,18.6,18.6,0,0,1,,0.535,10.0,99.51,kTaker,,,,,54,0.00016,0.0159216,config_estimated,3962795,,,,,,,,1779768838450489176,1779768838454451971,,smoke_summary_v1,
20260526_041304_rave_latency_smoke_retry,288230376151711746,t-288230376151711746,3,144115188075855875,294985777053717146,RAVE_USDT,5,,,,,exit,288230376151711745,kExitSubmit,kLong,288230376151711745,kCloseLong,kSell,true,kImmediateOrCancel,kFilled,kUnknown,kUnknown,,0.5293,0.5293,0.0001,,,18.6,18.6,18.6,0,0,1,,0.5348,10.0,99.4728,kTaker,,,,,55,0.00016,0.015915648,config_estimated,3765251,,,,,,,,1779768838461548378,1779768838465313629,,smoke_summary_v1,
