run_id,latency_key,local_order_id,exchange_order_id,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,request_send_local_ns,ack_local_receive_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,warnings
20260526_041304_rave_latency_smoke_retry,20260526_041304_rave_latency_smoke_retry:288230376151711745,288230376151711745,294985777053717137,RAVE_USDT,,,,,,kBuy,false,kFilled,kUnknown,kUnknown,2,144115188075855874,1779768838450489176,1779768838454451971,1779768838461159141,1779768838454451971,1779768838452525000,1779768838459293000,,1779768838459000000,3962795,10669965,3962795,10669965,3962795,0,1926971,1866141,,,,,,,,,
20260526_041304_rave_latency_smoke_retry,20260526_041304_rave_latency_smoke_retry:288230376151711746,288230376151711746,294985777053717146,RAVE_USDT,,,,exit,,kSell,true,kFilled,kUnknown,kUnknown,3,144115188075855875,1779768838461548378,1779768838465313629,1779768838466276654,1779768838465313629,1779768838463409000,1779768838464431000,,1779768838464000000,3765251,4728276,3765251,4728276,3765251,0,1904629,1845654,,,,,,,,,
