run_id,position_key,symbol,symbol_id,position_id,position_direction,status,entry_local_order_id,exit_local_order_id,entry_exchange_order_id,exit_exchange_order_id,entry_lead_exchange_ns,entry_lead_local_ns,entry_lead_freshness_ns,entry_lag_exchange_ns,entry_lag_local_ns,entry_lag_freshness_ns,exit_lead_exchange_ns,exit_lead_local_ns,exit_lead_freshness_ns,exit_lag_exchange_ns,exit_lag_local_ns,exit_lag_freshness_ns,entry_ns,exit_ns,holding_ns,entry_side,exit_side,entry_raw_price,exit_raw_price,entry_order_price,exit_order_price,entry_price,exit_price,entry_volume,exit_volume,matched_volume,remaining_entry_volume,contract_multiplier,entry_notional,exit_notional,gross_pnl,entry_fee_quote_estimated,exit_fee_quote_estimated,total_fee_quote_estimated,net_pnl,entry_ack_rtt_ns,exit_ack_rtt_ns,entry_fee_source,exit_fee_source,warnings
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:378:31:288230376151712149,SKYAI_USDT,378,31,kLong,closed,288230376151712148,288230376151712149,235876031641365690,235876031641365708,1781877146558000000,1781877146559021761,1022986,1781877146558479000,1781877146558697998,543986,1781877146560000000,1781877146561459025,1460098,1781877146560560000,1781877146560756308,900098,1781877146560971847,1781877146563164729,2192882,kBuy,kSell,0.34252,0.34251,0.34256,0.34247,0.34254,0.34251,29,29,29,0,10,99.3366,99.3279,-0.0087,0.01986732,0.01986558,0.0397329,-0.0484329,620935,631005,config_estimated,config_estimated,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:378:33:288230376151712154,SKYAI_USDT,378,33,kLong,closed,288230376151712153,288230376151712154,235876031641372320,235876031641372403,1781877282569000000,1781877282570608071,1609619,1781877282570215000,1781877282570407653,394619,1781877282583000000,1781877282584586615,1587631,1781877282584238000,1781877282584424887,349631,1781877282576760339,1781877282587561006,10800667,kBuy,kSell,0.34268,0.34274,0.34272,0.3427,0.34272,0.34271,29,29,29,0,10,99.3888,99.3859,-0.0029,0.01987776,0.01987718,0.03975494,-0.04265494,599411,668672,config_estimated,config_estimated,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:378:34:288230376151712157,SKYAI_USDT,378,34,kLong,closed,288230376151712156,288230376151712157,235876031641373949,235876031641373985,1781877298841000000,1781877298842478448,1479699,1781877298834211000,1781877298834407979,8268699,1781877298848000000,1781877298848966489,967570,1781877298847737000,1781877298847953161,1230570,1781877298847354597,1781877298851684352,4329755,kBuy,kSell,0.3427,0.34269,0.34274,0.34265,0.3427,0.34269,29,29,29,0,10,99.383,99.3801,-0.0029,0.0198766,0.01987602,0.03975262,-0.04265262,611096,556010,config_estimated,config_estimated,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:378:35:288230376151712162,SKYAI_USDT,378,35,kLong,closed,288230376151712159,288230376151712162,235876031641384559,235876031641384688,1781877357069000000,1781877357070259688,1260925,1781877357069500000,1781877357069727278,760925,1781877357081000000,1781877357082583518,1584250,1781877357079469000,1781877357079666872,3115250,1781877357073217080,1781877357084295736,11078656,kBuy,kSell,0.34296,0.3428,0.343,0.34276,0.34296,0.34281,29,29,29,0,10,99.4584,99.4149,-0.0435,0.01989168,0.01988298,0.03977466,-0.08327466,620671,593883,config_estimated,config_estimated,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:378:36:288230376151712173,SKYAI_USDT,378,36,kLong,closed,288230376151712172,288230376151712173,235876031641388672,235876031641388810,1781877385113000000,1781877385114485518,1486487,1781877385112822000,1781877385113036928,1664487,1781877385484000000,1781877385484973534,974336,1781877385464134000,1781877385464340028,20840336,1781877385116348882,1781877385487604751,371255869,kBuy,kSell,0.34333,0.34325,0.34337,0.34321,0.34333,0.34322,29,29,29,0,10,99.5657,99.5338,-0.0319,0.01991314,0.01990676,0.0398199,-0.0717199,695654,654518,config_estimated,config_estimated,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:378:37:288230376151712175,SKYAI_USDT,378,37,kLong,closed,288230376151712174,288230376151712175,235876031641392464,235876031641392849,1781877397463000000,1781877397463970468,972125,1781877397461740000,1781877397461942250,2232125,1781877397995000000,1781877397996061907,1062691,1781877397995157000,1781877397995339114,905691,1781877397465936822,1781877397998039002,532102180,kBuy,kSell,0.34452,0.34497,0.34456,0.34493,0.34452,0.34497,1,1,1,0,10,3.4452,3.4497,0.0045,0.00068904,0.00068994,0.00137898,0.00312102,590881,822152,config_estimated,config_estimated,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:378:73:288230376151712434,SKYAI_USDT,378,73,kLong,partial_closed,288230376151712432,288230376151712434,235876031642543559,235876031642543654,1781890217213000000,1781890217213703966,705455,1781890217212616000,1781890217212863152,1089455,1781890217250000000,1781890217251112954,1113634,1781890217246147000,1781890217246396526,4966634,1781890217223289456,1781890217255422191,32132735,kBuy,kSell,0.34637,0.34613,0.34641,0.34609,0.34638,0.34609,8,8,8,12,10,27.7104,27.6872,-0.0232,0.00554208,0.00553744,0.01107952,-0.03427952,583782,553390,config_estimated,config_estimated,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:378:73:288230376151712435,SKYAI_USDT,378,73,kLong,closed,288230376151712432,288230376151712435,235876031642543559,235876031642543716,1781890217213000000,1781890217213703966,705455,1781890217212616000,1781890217212863152,1089455,1781890217420000000,1781890217421337153,2032398,1781890217421809000,1781890217422031513,223398,1781890217223289456,1781890217423981099,200691643,kBuy,kSell,0.34637,0.34608,0.34641,0.34604,0.34638,0.34608,12,12,12,0,10,41.5656,41.5296,-0.036,0.00831312,0.00830592,0.01661904,-0.05261904,583782,771931,config_estimated,config_estimated,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:378:76:288230376151712498,SKYAI_USDT,378,76,kShort,closed,288230376151712497,288230376151712498,235876031642919501,235876031642919525,1781897753067000000,1781897753068820725,1821954,1781897753066982000,1781897753067183251,1839954,1781897753084000000,1781897753084654323,655153,1781897753084066000,1781897753084314312,589153,1781897753072154035,1781897753094310538,22156503,kSell,kBuy,0.35069,0.35074,0.35065,0.35078,0.35069,0.3507639,28,28,28,0,10,98.1932,98.213892,-0.020692,0.01963864,0.0196427784,0.0392814184,-0.0599734184,797457,736907,config_estimated,config_estimated,
