symbol_id,symbol,exchange,exchange_symbol,base_asset,quote_asset,settle_asset,product_type,status,contract_type,price_tick,price_decimal_places,quantity_step,quantity_decimal_places,min_quantity,max_quantity,max_market_quantity,min_notional,notional_multiplier,contract_multiplier,price_limit_up,price_limit_down,market_price_bound
378,SKYAI_USDT,gate,SKYAI_USDT,SKYAI,USDT,USDT,linear_perpetual,TRADING,direct,1e-05,5,1.0,0,1.0,53000.0,35000.0,,10.0,10.0,0.2,0.2,0.05
378,SKYAI_USDT,binance,SKYAIUSDT,SKYAI,USDT,USDT,linear_perpetual,TRADING,PERPETUAL,1e-05,5,1.0,0,1.0,30000000.0,3000000.0,5.0,1.0,1.0,0.15,0.15,0.15
