run_id,signal_index,log_time,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,request_send_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,39,2026-06-19 10:12:40.311370241,kBinance,378,1781863960310000000,1781863960311367743,1781863960311367922,1781863960311368919,1781863960310000000,1781863960311367743,10845560580916,1368919,1781863959316046000,1781863959316165354,2251028734,995322919,SKYAI_USDT,378,kLead,kOpenLong,kBuy,false,0,0.34187,,,,179,997,,,,,,,,,,,,,,,,,,missing_order
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,40,2026-06-19 10:12:40.311375323,kBinance,378,1781863960310000000,1781863960311367939,1781863960311374892,1781863960311375249,1781863960310000000,1781863960311367939,10845560580996,1375249,1781863959316046000,1781863959316165354,2251028734,995329249,SKYAI_USDT,378,kLead,kOpenLong,kBuy,false,0,0.34187,,,,6953,357,,,,,,,,,,,,,,,,,,missing_order
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,41,2026-06-19 10:12:40.312095766,kBinance,378,1781863960311000000,1781863960312094873,1781863960312095298,1781863960312095690,1781863960311000000,1781863960312094873,10845560581231,1095690,1781863960311425000,1781863960311550700,2251028758,670690,SKYAI_USDT,378,kLead,kOpenLong,kBuy,false,0,0.34192,288230376151711757,14,1781863960312110224,425,392,14534,15351,235876031640436225,entry,1,kEntrySubmit,kLong,0.34196,1e-05,4,29,kCancelled,0,0,,675515,1781863960316185781,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,43,2026-06-19 10:15:08.136507607,kBinance,378,1781864108135000000,1781864108136504783,1781864108136505445,1781864108136506242,1781864108135000000,1781864108136504783,10845573575324,1506242,1781864108135553000,1781864108135653365,2251042844,953242,SKYAI_USDT,378,kLead,kOpenShort,kSell,false,0,0.34142,288230376151711759,16,1781864108136521544,662,797,15302,16761,235876031640443383,entry,2,kEntrySubmit,kShort,0.34138,1e-05,4,29,kCancelled,0,0,,674878,1781864108138426185,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,44,2026-06-19 10:15:08.140021870,kBinance,378,1781864108139000000,1781864108140020907,1781864108140021343,1781864108140021782,1781864108139000000,1781864108140020907,10845573575831,1021782,1781864108139183000,1781864108139321750,2251043017,838782,SKYAI_USDT,378,kLead,kOpenLong,kBuy,false,0,0.34104,288230376151711760,17,1781864108140024216,436,439,2434,3309,235876031640443481,entry,3,kEntrySubmit,kLong,0.34108,1e-05,4,29,kCancelled,0,0,,593180,1781864108142025212,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,126,2026-06-19 10:47:50.159448093,kBinance,378,1781866070158000000,1781866070159445582,1781866070159446285,1781866070159446975,1781866070158000000,1781866070159445582,10845746904552,1446975,1781866069101867000,1781866069102008714,2251177973,1057579975,SKYAI_USDT,378,kLead,kOpenLong,kBuy,false,0,0.34243,,,,703,690,,,,,,,,,,,,,,,,,,missing_order
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,127,2026-06-19 10:47:50.159453278,kBinance,378,1781866070159000000,1781866070159446215,1781866070159452825,1781866070159453194,1781866070159000000,1781866070159446215,10845746904569,453194,1781866070159312000,1781866070159451140,2251178025,141194,SKYAI_USDT,378,kLead,kOpenLong,kBuy,false,0,0.34243,288230376151711819,76,1781866070159463828,6610,369,10634,17613,235876031640512294,entry,4,kEntrySubmit,kLong,0.34247,1e-05,4,29,kCancelled,0,0,,539230,1781866070165504578,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,264,2026-06-19 11:23:46.992582660,kBinance,378,1781868226991000000,1781868226992580395,1781868226992580752,1781868226992581483,1781868226991000000,1781868226992580395,10845932843211,1581483,1781868226710314000,1781868226710410262,2251315717,282267483,SKYAI_USDT,378,kLead,kOpenLong,kBuy,false,0,0.3433,,,,357,731,,,,,,,,,,,,,,,,,,missing_order
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,265,2026-06-19 11:23:46.992588218,kBinance,378,1781868226992000000,1781868226992582745,1781868226992587826,1781868226992588133,1781868226992000000,1781868226992582745,10845932843329,588133,1781868226710314000,1781868226710410262,2251315717,282274133,SKYAI_USDT,378,kLead,kOpenLong,kBuy,false,0,0.3433,,,,5081,307,,,,,,,,,,,,,,,,,,missing_order
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,266,2026-06-19 11:23:46.993040654,kBinance,378,1781868226992000000,1781868226993039665,1781868226993040281,1781868226993040575,1781868226992000000,1781868226993039665,10845932843401,1040575,1781868226710314000,1781868226710410262,2251315717,282726575,SKYAI_USDT,378,kLead,kOpenLong,kBuy,false,0,0.3433,,,,616,294,,,,,,,,,,,,,,,,,,missing_order
