run_id,latency_key,local_order_id,exchange_order_id,symbol,symbol_id,position_id,position_direction,order_role,action,side,reduce_only,status,finish_reason,reject_reason,request_sequence,encoded_request_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,lead_exchange_ns,lead_local_ns,signal_lead_id,lead_freshness_ns,lag_exchange_ns,lag_local_ns,signal_lag_id,lag_freshness_ns,max_lead_freshness_ns,max_lag_freshness_ns,freshness_guard_pass,freshness_reject_reason,request_send_local_ns,ack_local_receive_ns,response_local_receive_ns,order_finished_local_ns,ack_exchange_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,ack_lead_id,ack_lag_id,accepted_lead_id,accepted_lag_id,partial_filled_lead_id,partial_filled_lag_id,filled_lead_id,filled_lag_id,cancelled_lead_id,cancelled_lag_id,rejected_lead_id,rejected_lag_id,unknown_result_lead_id,unknown_result_lag_id,cancel_accepted_lead_id,cancel_accepted_lag_id,cancel_rejected_lead_id,cancel_rejected_lag_id,continuity_lost_lead_id,continuity_lost_lag_id,response_exchange_ns,accepted_exchange_ns,finish_exchange_ns,ack_rtt_ns,response_rtt_ns,send_to_ack_local_ns,send_to_response_local_ns,send_to_finish_local_ns,ack_to_finish_local_ns,bbo_to_strategy_ns,strategy_to_signal_ns,signal_to_request_send_ns,trigger_to_request_send_ns,ack_exchange_to_local_ns,response_exchange_to_local_ns,exchange_lifecycle_ns,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,warnings
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151711998,288230376151711998,235876031640840607,SKYAI_USDT,378,11,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,255,144115188075856127,1781873330910000000,1781873330911515263,1781873330911515941,1781873330911516746,1781873330910000000,1781873330911515263,10846371044406,1516746,1781873330908311000,1781873330908448170,2251823367,3205746,5000000,20000000,true,-,1781873330911521526,1781873330912336150,1781873330915703624,1781873330915424029,1781873330912031000,1781873330911747000,1781873330912031000,284000,10846371044406,2251823367,,,,,,,10846371045802,2251823486,,,,,,,,,,,1781873330915468000,0,1781873330914000000,814624,4182098,814624,4182098,3902503,3087879,678,805,4780,6263,305150,235624,1969000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,987,950,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151712051,288230376151712051,235876031640997423,SKYAI_USDT,378,12,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,308,144115188075856180,1781874929913000000,1781874929914222552,1781874929914223280,1781874929914223989,1781874929913000000,1781874929914222552,10846558667792,1223989,1781874929913012000,1781874929913200260,2252131092,1211989,5000000,20000000,true,-,1781874929914241667,1781874929914842077,1781874929918312455,1781874929919884488,1781874929914581000,1781874929914462000,1781874929914581000,119000,10846558668010,2252131184,10846558668528,2252131264,,,,,10846558668678,2252131371,,,,,,,,,,,1781874929918092000,0,1781874929917000000,600410,4070788,600410,4070788,5642821,5042411,728,709,17678,19115,261077,220455,2419000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,444,74,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151712053,288230376151712053,235876031641005875,SKYAI_USDT,378,13,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,310,144115188075856182,1781874968151000000,1781874968151813266,1781874968151813671,1781874968151814050,1781874968151000000,1781874968151813266,10846562298032,814050,1781874968150980000,1781874968151175751,2252147684,834050,5000000,20000000,true,-,1781874968151828397,1781874968152559042,1781874968154461396,1781874968154830657,1781874968152257000,1781874968152036000,1781874968152257000,221000,10846562298251,2252147727,10846562298622,2252147899,,,,,10846562298747,2252147899,,,,,,,,,,,1781874968154170000,0,1781874968153000000,730645,2632999,730645,2632999,3002260,2271615,405,379,14347,15131,302042,291396,743000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,461,113,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151712054,288230376151712054,235876031641012166,SKYAI_USDT,378,14,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,311,144115188075856183,1781874997737000000,1781874997738566960,1781874997738567416,1781874997738568405,1781874997737000000,1781874997738566960,10846565362840,1568405,1781874997738164000,1781874997738420757,2252159820,404405,5000000,20000000,true,-,1781874997738585109,1781874997739219962,1781874997741329605,1781874997741744167,1781874997738945000,1781874997738791000,1781874997738945000,154000,10846565362840,2252159820,10846565363384,2252159962,,,,,10846565363424,2252160003,,,,,,,,,,,1781874997741077000,0,1781874997740000000,634853,2744496,634853,2744496,3159058,2524205,456,989,16704,18149,274962,252605,1055000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,442,98,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151712055,288230376151712055,235876031641021292,SKYAI_USDT,378,15,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,312,144115188075856184,1781875014151000000,1781875014152009296,1781875014152009522,1781875014152010012,1781875014151000000,1781875014152009296,10846566853931,1010012,1781875014151158000,1781875014151379211,2252177325,852012,5000000,20000000,true,-,1781875014152025364,1781875014152688844,1781875014155175694,1781875014154813109,1781875014152383000,1781875014152223000,1781875014152383000,160000,10846566854021,2252177361,,,,,,,10846566854246,2252177404,,,,,,,,,,,1781875014154946000,0,1781875014154000000,663480,3150330,663480,3150330,2787745,2124265,226,490,15352,16068,305844,229694,1617000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,449,105,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151712056,288230376151712056,235876031641022562,SKYAI_USDT,378,16,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,313,144115188075856185,1781875015270000000,1781875015271032856,1781875015271033271,1781875015271033582,1781875015270000000,1781875015271032856,10846566919450,1033582,1781875015252663000,1781875015252876771,2252179554,18370582,5000000,20000000,true,-,1781875015271040328,1781875015271829972,1781875015276794037,1781875015276737537,1781875015271502000,1781875015271273000,1781875015271502000,229000,10846566919581,2252179624,,,,,,,10846566920254,2252179711,,,,,,,,,,,1781875015276506000,0,1781875015276000000,789644,5753709,789644,5753709,5697209,4907565,415,311,6746,7472,327972,288037,4498000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,490,161,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151712057,288230376151712057,235876031641024408,SKYAI_USDT,378,17,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,314,144115188075856186,1781875018732000000,1781875018733080261,1781875018733080806,1781875018733081263,1781875018732000000,1781875018733080261,10846567231677,1081263,1781875018731879000,1781875018732066193,2252182910,1202263,5000000,20000000,true,-,1781875018733090367,1781875018733673714,1781875018736586906,1781875018736785366,1781875018733393000,1781875018733279000,1781875018733393000,114000,10846567231828,2252182913,10846567232282,2252182971,,,,,10846567232282,2252182971,,,,,,,,,,,1781875018736355000,0,1781875018736000000,583347,3496539,583347,3496539,3694999,3111652,545,457,9104,10106,280714,231906,2607000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,483,134,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151712060,288230376151712060,235876031641034321,SKYAI_USDT,378,18,kLong,entry,kOpenLong,kBuy,false,kCancelled,kImmediateOrCancel,kUnknown,317,144115188075856189,1781875047322000000,1781875047323505447,1781875047323506454,1781875047323506974,1781875047322000000,1781875047323505447,10846570131985,1506974,1781875047310469000,1781875047310660549,2252201683,13037974,5000000,20000000,true,-,1781875047323518999,1781875047324528194,1781875047325434488,1781875047326269744,1781875047324133000,1781875047323763000,1781875047324133000,370000,10846570132175,2252201726,10846570132279,2252201726,,,,,10846570132538,2252201787,,,,,,,,,,,1781875047325208000,0,1781875047324000000,1009195,1915489,1009195,1915489,2750745,1741550,1007,520,12025,13552,395194,226488,-133000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,539,208,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151712062,288230376151712062,235876031641065470,SKYAI_USDT,378,19,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,319,144115188075856191,1781875113835000000,1781875113836010285,1781875113836010784,1781875113836011475,1781875113835000000,1781875113836010285,10846577133295,1011475,1781875113835413000,1781875113835637172,2252260107,598475,5000000,20000000,true,-,1781875113836028422,1781875113836643581,1781875113837604190,1781875113837686676,1781875113836360000,1781875113836245000,1781875113836360000,115000,10846577133440,2252260107,10846577133529,2252260168,,,,,10846577133529,2252260250,,,,,,,,,,,1781875113837371000,0,1781875113837000000,615159,1575768,615159,1575768,1658254,1043095,499,691,16947,18137,283581,233190,640000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,436,89,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
20260619_095317_28symbols_no_h_30d_fusion_off_l0_live,20260619_095317_28symbols_no_h_30d_fusion_off_l0_live:288230376151712066,288230376151712066,235876031641100695,SKYAI_USDT,378,20,kShort,entry,kOpenShort,kSell,false,kCancelled,kImmediateOrCancel,kUnknown,323,144115188075856195,1781875263956000000,1781875263957475020,1781875263957475741,1781875263957476703,1781875263956000000,1781875263957475020,10846592489255,1476703,1781875263956365000,1781875263956559087,2252328857,1111703,5000000,20000000,true,-,1781875263957494712,1781875263958194976,1781875263966174423,1781875263966359999,1781875263957893000,1781875263957708000,1781875263957893000,185000,10846592489440,2252328977,10846592490476,2252329211,,,,,10846592490476,2252329211,,,,,,,,,,,1781875263965933000,0,1781875263965000000,700264,8679711,700264,8679711,8865287,8165023,721,962,18009,19692,301976,241423,7107000,1,4,916493,10.0.1.103,37716,10.0.1.154,80,4,4,,true,464,116,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,
