run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,trigger_exchange_ns,trigger_local_ns,on_book_ticker_entry_ns,signal_decision_ns,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,order_session_id,owner_thread_cpu,owner_thread_tid,local_ip,local_port,remote_ip,remote_port,send_cpu,ack_cpu,diagnostic_cpu,tcp_info_available,tcp_info_rtt_us,tcp_info_rttvar_us,tcp_info_retrans,tcp_info_total_retrans,tcp_info_unacked,tcp_info_snd_cwnd,ack_rtt_ns,ack_exchange_request_ingress_ns,ack_exchange_response_egress_ns,ack_exchange_process_ns,latency_diagnostic_reason,latency_diagnostic_ack_rtt_ns,send_to_first_after_hook_ns,send_to_first_drive_read_ns,drive_read_duration_ns,max_observed_drive_read_duration_ns,latency_diagnostic_inflight_at_send,max_runtime_loop_gap_ns,runtime_loop_iterations_before_ack,order_encode_done_ns,ws_frame_encode_done_ns,write_enqueue_ns,drive_write_enter_ns,write_some_enter_ns,write_some_return_ns,write_complete_ns,write_some_bytes,write_complete_bytes,write_errno,write_eagain,pending_write_count_after,socket_send_queue_available,tcp_sendq_bytes,tcp_notsent_bytes,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711745,t-288230376151711745,2,144115188075855874,281193503369931577,LAB_USDT,15,10685929980015,kBinance,15,1780380000082000000,7579054223711376,1780380000083246541,1780380000083247611,kLead,entry,1,kEntrySubmit,kShort,288230376151711745,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,18.6769,18.6719,18.67190,1e-05,500,500,1,1.0,0,1,1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,4,true,1216,1796,0,0,0,10,7490231,1780380000083485000,1780380000090569000,7084000,kAckRttThreshold,7490231,25961,38085,13217,20132,1,41685,233,1780380000083259142,1780380000083260708,1780380000083261028,1780380000083261463,1780380000083261511,1780380000083271218,1780380000083276112,246,246,0,false,0,true,246,0,1780380000083259661,1780380000090749892,1780380000231844485,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711746,t-288230376151711746,3,144115188075855875,281193503369932180,LAB_USDT,15,10685930016737,kBinance,15,1780380000308000000,7579054449627446,1780380000309162605,1780380000309162866,kLead,entry,2,kEntrySubmit,kShort,288230376151711746,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,18.63063,18.62563,18.62563,1e-05,500,500,1,1.0,0,1,1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,1121,1537,0,0,0,10,488578,1780380000309375000,1780380000309489000,114000,,,,,,,,,,,,,,,,,,,,,,,,,1780380000309165257,1780380000309653835,1780380000465915986,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711747,t-288230376151711747,4,144115188075855876,281193503370079661,LAB_USDT,15,10685973409562,kBinance,15,1780380371742000000,7579425883471026,1780380371743006366,1780380371743007415,kLead,entry,3,kEntrySubmit,kShort,288230376151711747,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,18.76205,18.75705,18.75705,1e-05,500,500,1,1.0,0,1,1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,346,55,0,0,0,10,512836,1780380371743224000,1780380371743332000,108000,,,,,,,,,,,,,,,,,,,,,,,,,1780380371743019479,1780380371743532315,1780380371754204756,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711748,t-288230376151711748,5,144115188075855877,281193503370092270,LAB_USDT,15,10685974687099,kBinance,15,1780380382540000000,7579436681690235,1780380382541225599,1780380382541226394,kLead,entry,4,kEntrySubmit,kLong,288230376151711748,kOpenLong,kBuy,false,kImmediateOrCancel,kFilled,kUnknown,kUnknown,18.63652,18.64152,18.64152,1e-05,500,500,1,1.0,1,0,0,1,18.636997,18.636997,100.0,1863.6997,kTaker,0.000477,47.7,0.2559490720370541281312176307593907,0.0477,452.3,0.0002,0.37273994,config_estimated,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,356,73,0,0,0,10,503218,1780380382541439000,1780380382541547000,108000,,,,,,,,,,,,,,,,,,,,,,,,,1780380382541233634,1780380382541736852,1780380382542993182,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711749,t-288230376151711749,6,144115188075855878,281193503370103826,LAB_USDT,15,10685976188581,kBinance,15,1780380397610000000,7579451752163957,1780380397611699405,1780380397611699824,kLead,exit,4,kExitSubmit,kLong,288230376151711748,kCloseLong,kSell,true,kImmediateOrCancel,kPartiallyCancelled,kImmediateOrCancel,kUnknown,18.5775,18.5725,18.57250,1e-05,500,500,1,1.0,0.6,0.4,0.4,0.6,18.5769,18.5769,100.0,1114.614,kNone,0.0006,60,0.3229713362939039160274525635849818,0.036,440,0.0002,0.2229228,config_estimated,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,356,61,0,0,0,10,466247,1780380397611906000,1780380397612014000,108000,,,,,,,,,,,,,,,,,,,,,,,,,1780380397611706836,1780380397612173083,1780380397613512566,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711750,t-288230376151711750,7,144115188075855879,281193503370104984,LAB_USDT,15,10685976398271,kBinance,15,1780380400066000000,7579454207584885,1780380400067120274,1780380400067120707,kLead,exit,4,kExitSubmit,kLong,288230376151711748,kCloseLong,kSell,true,kImmediateOrCancel,kFilled,kUnknown,kUnknown,18.5619,18.5569,18.55690,1e-05,500,500,0.4,0.4,0.4,0,0,1,18.56191,18.56191,100.0,742.4764,kTaker,-0.00001,-1,-0.005387379524725378328727123839693135,-0.0004,501,0.0002,0.14849528,config_estimated,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,378,90,0,0,0,10,550628,1780380400067353000,1780380400067503000,150000,,,,,,,,,,,,,,,,,,,,,,,,,1780380400067124733,1780380400067675361,1780380400068902814,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711751,t-288230376151711751,8,144115188075855880,281193503370136442,LAB_USDT,15,10685981485368,kBinance,15,1780380445403000000,7579499544669600,1780380445404205196,1780380445404206720,kLead,entry,5,kEntrySubmit,kLong,288230376151711751,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,18.49565,18.50065,18.50065,1e-05,500,500,1,1.0,0,1,1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,351,62,0,0,0,10,505714,1780380445404421000,1780380445404533000,112000,,,,,,,,,,,,,,,,,,,,,,,,,1780380445404217871,1780380445404723585,1780380445415831312,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711752,t-288230376151711752,9,144115188075855881,281193503370227942,LAB_USDT,15,10685994900511,kBinance,15,1780380564490000000,7579618631313569,1780380564490849163,1780380564490850656,kLead,entry,6,kEntrySubmit,kLong,288230376151711752,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,17.90932,17.91432,17.91432,1e-05,500,500,1.1,1.1,0,1.1,1.1,0,0,0,100.0,,kNone,,,,,,0.0002,,,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,338,56,0,0,0,10,532085,1780380564491084000,1780380564491189000,105000,,,,,,,,,,,,,,,,,,,,,,,,,1780380564490861892,1780380564491393977,1780380564497275977,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711753,t-288230376151711753,10,144115188075855882,281193503370333715,LAB_USDT,15,10686007779000,kBinance,15,1780380683435000000,7579737576643573,1780380683436178915,1780380683436179982,kLead,entry,7,kEntrySubmit,kShort,288230376151711753,kOpenShort,kSell,false,kImmediateOrCancel,kFilled,kUnknown,kUnknown,17.71879,17.71379,17.71379,1e-05,500,500,1.1,1.1,1.1,0,0,1,17.7193754,17.7193754,100.0,1949.131294,kTaker,-0.0005854,-58.54,-0.3303837338779905399860825711010741,-0.064394,558.54,0.0002,0.3898262588,config_estimated,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,4,true,2028,3438,0,0,0,10,14047506,1780380683436416000,1780380683450035000,13619000,kAckRttThreshold,14047506,19662,31636,13500,20430,1,42302,435,1780380683436191137,1780380683436192740,1780380683436192934,1780380683436193428,1780380683436193474,1780380683436199338,1780380683436203627,246,246,0,false,0,true,246,0,1780380683436191541,1780380683450239047,1780380683458156709,submitted_v1,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,288230376151711754,t-288230376151711754,11,144115188075855883,281193503370336924,LAB_USDT,15,3208423130,kGate,15,1780380685931026000,7579740072581332,1780380685932116199,1780380685932116485,kLag,exit,7,kExitSubmit,kShort,288230376151711753,kCloseShort,kBuy,true,kImmediateOrCancel,kFilled,kUnknown,kUnknown,17.69195,17.69695,17.69695,1e-05,500,500,1.1,1.1,1.1,0,0,1,17.6581145,17.6581145,100.0,1942.392595,kTaker,-0.0338355,-3383.55,-19.12479969703735314648752681304209,-3.721905,3883.55,0.0002,0.388478519,config_estimated,1,4,3451188,10.0.1.103,48760,10.0.1.154,80,4,4,,true,1916,2802,0,0,0,10,1155700,1780380685932337000,1780380685932843000,506000,,,,,,,,,,,,,,,,,,,,,,,,,1780380685932121463,1780380685933277163,1780380685944851195,submitted_v1,
