run_id,position_key,symbol,symbol_id,position_id,position_direction,status,entry_local_order_id,exit_local_order_id,entry_exchange_order_id,exit_exchange_order_id,entry_ns,exit_ns,holding_ns,entry_side,exit_side,entry_raw_price,exit_raw_price,entry_order_price,exit_order_price,entry_price,exit_price,entry_volume,exit_volume,matched_volume,remaining_entry_volume,contract_multiplier,entry_notional,exit_notional,gross_pnl,entry_fee_quote_estimated,exit_fee_quote_estimated,total_fee_quote_estimated,net_pnl,entry_ack_rtt_ns,exit_ack_rtt_ns,entry_fee_source,exit_fee_source,warnings
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:218:288230376151711999,LAB_USDT,15,218,kLong,partial_closed,288230376151711994,288230376151711999,281193503388242597,281193503388266542,1780404885498932923,1780404906556495814,21057562891,kBuy,kSell,19.92,19.87691,19.925,19.87191,19.92,19.87675,0.4,0.4,0.4,0.00000000000000004,100,796.8,795.07,-1.73,0.15936,0.159014,0.318374,-2.048374,507053,448071,config_estimated,config_estimated,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:218:open,LAB_USDT,15,218,kLong,open,288230376151711994,,281193503388242597,,1780404885498932923,,,kBuy,,19.92,,19.925,,19.92,,0.00000000000000004,,,0.00000000000000004,100,0.00000000000007968,,,0.000000000000000015936,,0.000000000000000015936,,507053,,config_estimated,,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:225:288230376151712007,LAB_USDT,15,225,kLong,closed,288230376151712006,288230376151712007,281193503388551242,281193503388551819,1780405204710201792,1780405205027630058,317428266,kBuy,kSell,19.58629,19.64517,19.59129,19.64017,19.59095,19.64518,0.4,0.4,0.4,0,100,783.638,785.8072,2.1692,0.1567276,0.15716144,0.31388904,1.85531096,627185,607563,config_estimated,config_estimated,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:229:288230376151712013,LAB_USDT,15,229,kShort,closed,288230376151712011,288230376151712013,281193503388759547,281193503388781814,1780405460523687485,1780405475208373470,14684685985,kSell,kBuy,19.4795,19.3394,19.4745,19.3444,19.4795,19.3442575,0.8,0.8,0.8,0,100,1558.36,1547.5406,10.8194,0.311672,0.30950812,0.62118012,10.19821988,8342204,506772,config_estimated,config_estimated,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:233:288230376151712020,LAB_USDT,15,233,kShort,closed,288230376151712017,288230376151712020,281193503389013420,281193503389038998,1780405690267089642,1780405710019528136,19752438494,kSell,kBuy,19.25678,19.2455,19.25178,19.2505,19.25678,19.245668,1,1,1,0,100,1925.678,1924.5668,1.1112,0.3851356,0.38491336,0.77004896,0.34115104,464268,560123,config_estimated,config_estimated,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:237:288230376151712025,LAB_USDT,15,237,kShort,closed,288230376151712024,288230376151712025,281193503389795664,281193503389802316,1780406366783085440,1780406370005989965,3222904525,kSell,kBuy,19.70991,19.5669,19.70491,19.5719,19.70975,19.567842,1,1,1,0,100,1970.975,1956.7842,14.1908,0.394195,0.39135684,0.78555184,13.40524816,552929,522417,config_estimated,config_estimated,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:262:288230376151712054,LAB_USDT,15,262,kShort,partial_closed,288230376151712050,288230376151712054,281193503391389106,281193503391407341,1780407394227021144,1780407406564884109,12337862965,kSell,kBuy,19.29226,19.35984,19.28726,19.36484,19.2873,19.3602825,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.2999999999999999,100,771.492000000000192873,774.411300000000193602825,-2.919300000000000729825,0.1542984000000000385746,0.154882260000000038720565,0.309180660000000077295165,-3.228480660000000807120165,831678,607436,config_estimated,config_estimated,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:262:288230376151712055,LAB_USDT,15,262,kShort,closed,288230376151712050,288230376151712055,281193503391389106,281193503391408174,1780407394227021144,1780407406780024550,12553003406,kSell,kBuy,19.29226,19.35909,19.28726,19.36409,19.2873,19.35965,0.2999999999999999,0.3,0.2999999999999999,0,100,578.618999999999807127,580.7894999999998064035,-2.1704999999999992765,0.1157237999999999614254,0.1161579,0.2318816999999999614254,-2.4023816999999992379254,831678,500122,config_estimated,config_estimated,exit_volume_exceeds_entry
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:272:288230376151712070,LAB_USDT,15,272,kLong,closed,288230376151712065,288230376151712070,281193503392648218,281193503392670175,1780408693344929523,1780408715974400614,22629471091,kBuy,kSell,19.5049,19.2211513,19.5099,19.21615,19.506178,19.314819,1,1,1,0,100,1950.6178,1931.4819,-19.1359,0.39012356,0.38629638,0.77641994,-19.91231994,4903778,478539,config_estimated,config_estimated,
20260602_054815_lab_usdt_2000notional_500ticks_private_openended,20260602_054815_lab_usdt_2000notional_500ticks_private_openended:15:273:288230376151712072,LAB_USDT,15,273,kShort,closed,288230376151712071,288230376151712072,281193503392727731,281193503392729305,1780408801262754657,1780408804796109444,3533354787,kSell,kBuy,19.33853,19.26881,19.33353,19.27381,19.33881,19.27352,0.09999999999999998,0.1,0.09999999999999998,0,100,193.38809999999996132238,192.73519999999996145296,0.65289999999999986942,0.038677619999999992264476,0.03854704,0.077224659999999992264476,0.575675339999999877155524,495525,604991,config_estimated,config_estimated,exit_volume_exceeds_entry
