which,symbol_id,exchange,role,exchange_ns,local_ns,event_ns,price_changed,action,side,raw_price,reduce_only,lead_exchange_ns,lead_raw_bid,lead_raw_ask,lead_drifted_event_ns,lead_drifted_bid,lead_drifted_ask,lag_exchange_ns,lag_bid,lag_ask,drift_mean,drift_ready,drift_deviation,up_entry,down_entry,up_exit,down_exit,lag_spread_mean,lead_noise,lag_noise,active_group_count,group_id,position_direction,trailing_price,exchange_time_utc
first,15,kBinance,kLead,1780358516042000000,1780358516044925000,1780358516042000000,true,kOpenLong,kBuy,15.86456,false,1780358516042000000,15.7982,15.8067,1780358516042000000,15.9047886791,15.9133460276,1780358516037000000,15.85752,15.86456,1.00674688756,true,0.00674688756171,0.00158548541282,-0.00158548541282,0.000612283694237,-0.000612283694237,0.0114028722653,0.000280135302661,0.000282868664097,0,0,kLong,0,2026-06-02T00:01:56.042000Z
last,15,kBinance,kLead,1780444642589000000,1780444642591396000,1780444642589000000,true,kCloseLong,kSell,15.96837,true,1780444642589000000,15.6953,15.7088,1780444642589000000,15.9979021823,16.0116624595,1780444642581000000,15.96837,15.99238,1.01927979601,true,0.0192797960067,0.00609289667481,-0.006147,0.00192258402477,-0.00192258402477,0.032316510397,0.00332468135737,0.00309206023575,1,1549,kLong,15.97091,2026-06-02T23:57:22.589000Z
