run_id,local_order_id,exchange_order_id,symbol,symbol_id,order_role,status,side,order_price,price_tick,slippage_ticks,signal_lag_id,signal_lag_local_ns,signal_lag_age_ns,request_send_local_ns,place_creation_exchange_ns,terminal_event,terminal_exchange_ns,window_duration_ns,signal_marketability,creation_marketability,window_marketability,terminal_marketability,marketability_observation,bbo_records_at_creation,bbo_records_in_window,bbo_records_at_terminal,first_no_cross_after_send_ns,first_no_cross_opposite_price,missing_reason
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567731,1463514865135661059,SKHYUSDT,502,entry,kCancelled,kBuy,168.56,0.01,3,429753953652,1784655055313949515,1205293,1784655055314215729,1784655055316000000,cancel,1784655055317000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,3,1,269303,168.57,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567732,1463515294858883088,HYPEUSDT,210,entry,kCancelled,kBuy,60.636,0.001,13,374388447100,1784655157765070774,4430232,1784655157768441026,1784655157770000000,cancel,1784655157772000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,10,1,1246888,60.637,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567733,1463516216422969357,SKHYUSDT,502,entry,kCancelled,kBuy,169.7,0.01,3,429761274159,1784655377486733029,999949,1784655377487010176,1784655377488000000,cancel,1784655377490000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,61,1,946901,169.7,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567734,1463516705743056896,DEXEUSDT,135,entry,kCancelled,kBuy,9.035,0.001,7,429763855414,1784655494077202969,73039385,1784655494149050542,1784655494151000000,cancel,1784655494152000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,2,1,1538995,9.036,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567735,1463516848282284035,DEXEUSDT,135,entry,kCancelled,kBuy,9.107,0.001,7,429764617272,1784655528111128871,23485988,1784655528133494905,1784655528135000000,cancel,1784655528137000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,24,1,175122,9.108,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567736,1463516884143583238,DEXEUSDT,135,entry,kCancelled,kBuy,9.15,0.001,7,429764802042,1784655536683248450,1477142,1784655536683486627,1784655536685000000,cancel,1784655536687000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,25,1,469253,9.151,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567737,1463517194941509648,DEXEUSDT,135,entry,kCancelled,kBuy,9.14,0.001,7,429766445489,1784655610752072162,32491590,1784655610783500620,1784655610785000000,cancel,1784655610787000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,8,1,1607083,9.142,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567738,1463517225983553556,DEXEUSDT,135,entry,kCancelled,kBuy,9.174,0.001,7,429766630204,1784655618146784495,37391900,1784655618183401880,1784655618186000000,cancel,1784655618188000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,13,1,1105204,9.175,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567739,1463517234711900195,ONDOUSDT,305,entry,kCancelled,kSell,0.3977,0.0001,1,374391738185,1784655620116655564,149509148,1784655620265517908,1784655620267000000,cancel,1784655620269000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,14,1,832932,0.3976,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567740,1463517252831293476,DEXEUSDT,135,entry,kCancelled,kBuy,9.169,0.001,7,429766840069,1784655624575207180,12034848,1784655624586044222,1784655624587000000,cancel,1784655624589000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,7,1,983601,9.172,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567741,1463517828755369986,USUSDT,445,entry,kCancelled,kSell,0.042111,1e-06,9,664732227850,1784655761896201622,235395,1784655761896246683,1784655761898000000,cancel,1784655761899000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,3,1,366865,0.042105,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567742,1463517941758308355,DEXEUSDT,135,entry,kCancelled,kBuy,9.156,0.001,7,429770428663,1784655788753348681,85588146,1784655788838597817,1784655788840000000,cancel,1784655788842000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,14,1,206124,9.159,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567743,1463517978261336066,DEXEUSDT,135,entry,kCancelled,kBuy,9.212,0.001,7,429770655845,1784655797541139259,1516447,1784655797541527345,1784655797543000000,cancel,1784655797544000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,1,1,852786,9.213,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567744,1463518214681669637,TAOUSDT,415,entry,kCancelled,kSell,199.22,0.01,4,374393327475,1784655853907901184,1049148,1784655853908058220,1784655853910000000,cancel,1784655853911000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,4,1,521375,199.21,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567745,1463518501458817028,BTWUSDT,95,entry,kCancelled,kBuy,0.075417,1e-06,13,429773399126,1784655922281500117,789927,1784655922281798782,1784655922283000000,cancel,1784655922285000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,5,1,171744,0.075444,
