run_id,signal_index,log_time,trigger_ticker_id,trigger_exchange,trigger_symbol_id,symbol,symbol_id,signal_role,action,side,reduce_only,signal_position_id,raw_price,local_order_id,request_sequence,exchange_order_id,order_role,order_position_id,position_event,position_direction,order_price,price_tick,slippage_ticks,quantity,status,cumulative_filled_quantity,average_fill_price,exec_slippage_ticks,ack_rtt_ns,order_finished_local_ns,warnings
20260525_133511_12pair_live_2ticks,1,2026-05-25 13:37:28.065544782,10627437935804,kBinance,6,ZEC_USDT,6,kLead,kOpenShort,kSell,false,0,666.73,288230376151711745,2,206602634295434301,entry,1,kEntrySubmit,kShort,666.71,0.01,2,14,kCancelled,0,0,,5992885,1779716248083544721,
20260525_133511_12pair_live_2ticks,2,2026-05-25 13:37:36.265521146,10627438539403,kBinance,6,ZEC_USDT,6,kLead,kOpenShort,kSell,false,0,666.67,288230376151711746,3,206602634295436891,entry,2,kEntrySubmit,kShort,666.65,0.01,2,15,kCancelled,0,0,,5017620,1779716256276543297,
20260525_133511_12pair_live_2ticks,3,2026-05-25 13:42:22.144544309,10627462725519,kBinance,6,ZEC_USDT,6,kLead,kOpenShort,kSell,false,0,668.46,288230376151711747,4,206602634295487914,entry,3,kEntrySubmit,kShort,668.44,0.01,2,14,kCancelled,0,0,,5994817,1779716542156544295,
20260525_133511_12pair_live_2ticks,4,2026-05-25 13:42:24.382544347,10627463036125,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,668.13,288230376151711748,5,206602634295490579,entry,4,kEntrySubmit,kLong,668.15,0.01,2,14,kCancelled,0,0,,5996392,1779716544407543783,
20260525_133511_12pair_live_2ticks,5,2026-05-25 13:43:15.807543954,10627466561322,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.642,288230376151711749,6,88664618535461825,entry,1,kEntrySubmit,kLong,5.644,0.001,2,177,kCancelled,0,0,,5993173,1779716595819550646,
20260525_133511_12pair_live_2ticks,6,2026-05-25 13:43:22.096910807,10627467179607,kBinance,12,INJ_USDT,12,kLead,kOpenShort,kSell,false,0,5.652,288230376151711750,7,88664618535463218,entry,2,kEntrySubmit,kShort,5.65,0.001,2,176,kCancelled,0,0,,5628232,1779716602102549898,
20260525_133511_12pair_live_2ticks,7,2026-05-25 13:48:07.311720076,10627490446529,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,668.96,288230376151711751,8,206602634295548176,entry,5,kEntrySubmit,kLong,668.98,0.01,2,14,kCancelled,0,0,,10836759,1779716887327544925,
20260525_133511_12pair_live_2ticks,8,2026-05-25 13:48:10.655268849,10627490697233,kBinance,4,PROVE_USDT,4,kLead,kOpenLong,kBuy,false,0,0.2707,288230376151711752,9,260082878984836552,entry,1,kEntrySubmit,kLong,0.2709,0.0001,2,36,kCancelled,0,0,,5272392,1779716890672542698,
20260525_133511_12pair_live_2ticks,9,2026-05-25 13:48:44.240612558,10627493621054,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,670.44,288230376151711753,10,206602634295558640,entry,6,kEntrySubmit,kLong,670.46,0.01,2,14,kCancelled,0,0,,3924579,1779716924256544888,
20260525_133511_12pair_live_2ticks,10,2026-05-25 13:50:07.249544519,10627500717881,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,672.96,288230376151711754,11,206602634295577022,entry,7,kEntrySubmit,kLong,672.98,0.01,2,14,kCancelled,0,0,,5993882,1779717007261544266,
20260525_133511_12pair_live_2ticks,11,2026-05-25 13:50:56.147901049,10627505111461,kBinance,11,SUI_USDT,11,kLead,kOpenLong,kBuy,false,0,1.0482,288230376151711755,12,175640389419723922,entry,1,kEntrySubmit,kLong,1.0484,0.0001,2,95,kCancelled,0,0,,3749820,1779717056181544128,
20260525_133511_12pair_live_2ticks,12,2026-05-25 13:53:20.290544581,10627516466327,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.654,288230376151711756,13,88664618535484913,entry,3,kEntrySubmit,kLong,5.656,0.001,2,176,kCancelled,0,0,,5997592,1779717200296544295,
20260525_133511_12pair_live_2ticks,13,2026-05-25 13:55:56.748289080,10627529081361,kBinance,4,PROVE_USDT,4,kLead,kOpenLong,kBuy,false,0,0.2717,288230376151711757,14,260082878984838740,entry,2,kEntrySubmit,kLong,0.2719,0.0001,2,36,kCancelled,0,0,,4249433,1779717356758551305,
20260525_133511_12pair_live_2ticks,14,2026-05-25 13:56:11.700382134,10627530439429,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,672.75,288230376151711758,15,206602634295625125,entry,8,kEntrySubmit,kLong,672.77,0.01,2,14,kCancelled,0,0,,3870330,1779717371715543454,
20260525_133511_12pair_live_2ticks,15,2026-05-25 13:57:13.179544099,10627535517381,kBinance,4,PROVE_USDT,4,kLead,kOpenShort,kSell,false,0,0.273,288230376151711759,16,260082878984839474,entry,3,kEntrySubmit,kShort,0.2728,0.0001,2,36,kCancelled,0,0,,5999117,1779717433185545273,
20260525_133511_12pair_live_2ticks,16,2026-05-25 14:01:14.261109151,10627554859886,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.681,288230376151711760,17,88664618535501020,entry,4,kEntrySubmit,kLong,5.683,0.001,2,175,kCancelled,0,0,,9430122,1779717674277545189,
20260525_133511_12pair_live_2ticks,17,2026-05-25 14:01:18.813136971,10627555364605,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.694,288230376151711761,18,88664618535501636,entry,5,kEntrySubmit,kLong,5.696,0.001,2,175,kCancelled,0,0,,5402983,1779717678824543772,
20260525_133511_12pair_live_2ticks,18,2026-05-25 14:01:20.063153565,10627555493402,kBinance,12,INJ_USDT,12,kLead,kOpenShort,kSell,false,0,5.703,288230376151711762,19,88664618535502204,entry,6,kEntrySubmit,kShort,5.701,0.001,2,175,kCancelled,0,0,,3777003,1779717680072543303,
20260525_133511_12pair_live_2ticks,19,2026-05-25 14:01:30.731544201,10627556512117,kBinance,12,INJ_USDT,12,kLead,kOpenLong,kBuy,false,0,5.679,288230376151711763,20,88664618535503615,entry,7,kEntrySubmit,kLong,5.681,0.001,2,176,kCancelled,0,0,,5998997,1779717690743543493,
20260525_133511_12pair_live_2ticks,20,2026-05-25 14:01:30.768744619,10627556519129,kBinance,6,ZEC_USDT,6,kLead,kOpenLong,kBuy,false,0,672.97,288230376151711764,21,206602634295674341,entry,9,kEntrySubmit,kLong,672.99,0.01,2,14,kCancelled,0,0,,4799427,1779717690803542878,
