run_id,local_order_id,text_order_id,request_sequence,encoded_request_id,exchange_order_id,symbol,symbol_id,trigger_ticker_id,trigger_exchange,trigger_symbol_id,signal_role,order_role,position_id,position_event,position_direction,entry_local_order_id,action,side,reduce_only,time_in_force,status,finish_reason,reject_reason,raw_price,order_price,price_text,price_tick,slippage_ticks,order_offset_ticks,quantity,quantity_text,cumulative_filled_quantity,left_quantity,cancelled_quantity,fill_rate,average_fill_price,last_fill_price,contract_multiplier,filled_notional,fill_role,exec_slippage_price,exec_slippage_ticks,exec_slippage_bps,exec_slippage_quote,limit_improvement_ticks,fee_rate_config,fee_quote_estimated,fee_source,ack_rtt_ns,request_send_local_ns,ack_local_receive_ns,order_finished_local_ns,source_schema,warnings
20260525_133511_12pair_live_2ticks,288230376151711756,t-288230376151711756,13,144115188075855885,88664618535484913,INJ_USDT,12,10627516466327,kBinance,12,kLead,entry,3,kEntrySubmit,kLong,288230376151711756,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.654,5.656,5.656,0.001,2,2,176,176,0,176,176,0,0,0,0.1,,kNone,,,,,,0.00016,,,5997592,1779717200290553925,1779717200296551517,1779717200296544295,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711757,t-288230376151711757,14,144115188075855886,260082878984838740,PROVE_USDT,4,10627529081361,kBinance,4,kLead,entry,2,kEntrySubmit,kLong,288230376151711757,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.2717,0.2719,0.2719,0.0001,2,2,36,36,0,36,36,0,0,0,10.0,,kNone,,,,,,0.00016,,,4249433,1779717356748298823,1779717356752548256,1779717356758551305,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711758,t-288230376151711758,15,144115188075855887,206602634295625125,ZEC_USDT,6,10627530439429,kBinance,6,kLead,entry,8,kEntrySubmit,kLong,288230376151711758,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,672.75,672.77,672.77,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,3870330,1779717371700390214,1779717371704260544,1779717371715543454,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711759,t-288230376151711759,16,144115188075855888,260082878984839474,PROVE_USDT,4,10627535517381,kBinance,4,kLead,entry,3,kEntrySubmit,kShort,288230376151711759,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,0.273,0.2728,0.2728,0.0001,2,2,36,36,0,36,36,0,0,0,10.0,,kNone,,,,,,0.00016,,,5999117,1779717433179552459,1779717433185551576,1779717433185545273,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711760,t-288230376151711760,17,144115188075855889,88664618535501020,INJ_USDT,12,10627554859886,kBinance,12,kLead,entry,4,kEntrySubmit,kLong,288230376151711760,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.681,5.683,5.683,0.001,2,2,175,175,0,175,175,0,0,0,0.1,,kNone,,,,,,0.00016,,,9430122,1779717674261118179,1779717674270548301,1779717674277545189,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711761,t-288230376151711761,18,144115188075855890,88664618535501636,INJ_USDT,12,10627555364605,kBinance,12,kLead,entry,5,kEntrySubmit,kLong,288230376151711761,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.694,5.696,5.696,0.001,2,2,175,175,0,175,175,0,0,0,0.1,,kNone,,,,,,0.00016,,,5402983,1779717678813143933,1779717678818546916,1779717678824543772,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711762,t-288230376151711762,19,144115188075855891,88664618535502204,INJ_USDT,12,10627555493402,kBinance,12,kLead,entry,6,kEntrySubmit,kShort,288230376151711762,kOpenShort,kSell,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.703,5.701,5.701,0.001,2,2,175,175,0,175,175,0,0,0,0.1,,kNone,,,,,,0.00016,,,3777003,1779717680063158290,1779717680066935293,1779717680072543303,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711763,t-288230376151711763,20,144115188075855892,88664618535503615,INJ_USDT,12,10627556512117,kBinance,12,kLead,entry,7,kEntrySubmit,kLong,288230376151711763,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,5.679,5.681,5.681,0.001,2,2,176,176,0,176,176,0,0,0,0.1,,kNone,,,,,,0.00016,,,5998997,1779717690731548436,1779717690737547433,1779717690743543493,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711764,t-288230376151711764,21,144115188075855893,206602634295674341,ZEC_USDT,6,10627556519129,kBinance,6,kLead,entry,9,kEntrySubmit,kLong,288230376151711764,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,672.97,672.99,672.99,0.01,2,2,14,14,0,14,14,0,0,0,0.01,,kNone,,,,,,0.00016,,,4799427,1779717690768746289,1779717690773545716,1779717690803542878,submitted_v1,
20260525_133511_12pair_live_2ticks,288230376151711765,t-288230376151711765,22,144115188075855894,63331870910142631,ETC_USDT,8,10627562004891,kBinance,8,kLead,entry,1,kEntrySubmit,kLong,288230376151711765,kOpenLong,kBuy,false,kImmediateOrCancel,kCancelled,kImmediateOrCancel,kUnknown,9.039,9.041,9.041,0.001,2,2,110,110,0,110,110,0,0,0,0.1,,kNone,,,,,,0.00016,,,3804523,1779717749974188349,1779717749977992872,1779717749989544637,submitted_v1,
